#BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
      1      -3.3797196e+00      -3.3797196e+00       0.0000000e+00
      2      -3.3796659e+00      -3.3796927e+00       1.8991774e-05
      3      -3.3796123e+00      -3.3796659e+00       2.5295332e-05
      4      -3.3795587e+00      -3.3796391e+00       2.9973033e-05
      5      -3.3795052e+00      -3.3796123e+00       3.3893535e-05
      6      -3.3794517e+00      -3.3795856e+00       3.7355809e-05
      7      -3.3793980e+00      -3.3795588e+00       4.0503889e-05
      8      -3.3793442e+00      -3.3795319e+00       4.3420769e-05
      9      -3.3792903e+00      -3.3795051e+00       4.6159848e-05
     10      -3.3792360e+00      -3.3794782e+00       4.8758182e-05
     11      -3.3791816e+00      -3.3794512e+00       5.1242931e-05
     12      -3.3791267e+00      -3.3794242e+00       5.3634823e-05
     13      -3.3790715e+00      -3.3793971e+00       5.5950191e-05
     14      -3.3790159e+00      -3.3793698e+00       5.8202258e-05
     15      -3.3789598e+00      -3.3793425e+00       6.0401954e-05
     16      -3.3789031e+00      -3.3793150e+00       6.2558474e-05
     17      -3.3788459e+00      -3.3792874e+00       6.4679686e-05
     18      -3.3787880e+00      -3.3792597e+00       6.6772399e-05
     19      -3.3787295e+00      -3.3792318e+00       6.8842585e-05
     20      -3.3786702e+00      -3.3792037e+00       7.0895538e-05
     21      -3.3786102e+00      -3.3791754e+00       7.2935981e-05
     22      -3.3785493e+00      -3.3791470e+00       7.4968184e-05
     23      -3.3784876e+00      -3.3791183e+00       7.6996017e-05
     24      -3.3784249e+00      -3.3790894e+00       7.9023028e-05
     25      -3.3782112e+00      -3.3790543e+00       8.3305351e-05
     26      -3.3779964e+00      -3.3790136e+00       8.9488562e-05
     27      -3.3779312e+00      -3.3789735e+00       9.4729474e-05
     28      -3.3778643e+00      -3.3789339e+00       9.9284898e-05
     29      -3.3777962e+00      -3.3788947e+00       1.0332170e-04
     30      -3.3775760e+00      -3.3788507e+00       1.0882696e-04
     31      -3.3772050e+00      -3.3787976e+00       1.1755345e-04
     32      -3.3769838e+00      -3.3787409e+00       1.2681068e-04
     33      -3.3769110e+00      -3.3786855e+00       1.3454717e-04
     34      -3.3763844e+00      -3.3786178e+00       1.4662632e-04
     35      -3.3760083e+00      -3.3785433e+00       1.6027576e-04
     36      -3.3759314e+00      -3.3784707e+00       1.7146032e-04
     37      -3.3758520e+00      -3.3783999e+00       1.8084475e-04
     38      -3.3754694e+00      -3.3783228e+00       1.9182562e-04
     39      -3.3752364e+00      -3.3782437e+00       2.0257483e-04
     40      -3.3748509e+00      -3.3781588e+00       2.1453380e-04
     41      -3.3747654e+00      -3.3780761e+00       2.2470022e-04
     42      -3.3745267e+00      -3.3779916e+00       2.3470424e-04
     43      -3.3739854e+00      -3.3778984e+00       2.4704670e-04
     44      -3.3737438e+00      -3.3778040e+00       2.5884811e-04
     45      -3.3734998e+00      -3.3777083e+00       2.7019038e-04
     46      -3.3729515e+00      -3.3776049e+00       2.8341564e-04
     47      -3.3724024e+00      -3.3774942e+00       2.9821909e-04
     48      -3.3721523e+00      -3.3773829e+00       3.1208160e-04
     49      -3.3715979e+00      -3.3772649e+00       3.2728350e-04
     50      -3.3711925e+00      -3.3771434e+00       3.4253081e-04
     51      -3.3709356e+00      -3.3770217e+00       3.5678699e-04
     52      -3.3703742e+00      -3.3768939e+00       3.7212352e-04
     53      -3.3698112e+00      -3.3767602e+00       3.8835719e-04
     54      -3.3695474e+00      -3.3766267e+00       4.0348234e-04
     55      -3.3691299e+00      -3.3764904e+00       4.1853692e-04
     56      -3.3684083e+00      -3.3763460e+00       4.3523555e-04
     57      -3.3678364e+00      -3.3761967e+00       4.5248060e-04
     58      -3.3674130e+00      -3.3760453e+00       4.6933921e-04
     59      -3.3669859e+00      -3.3758918e+00       4.8585333e-04
     60      -3.3662540e+00      -3.3757311e+00       5.0360949e-04
     61      -3.3656708e+00      -3.3755662e+00       5.2165988e-04
     62      -3.3653871e+00      -3.3754020e+00       5.3846198e-04
     63      -3.3646474e+00      -3.3752313e+00       5.5631708e-04
     64      -3.3640557e+00      -3.3750567e+00       5.7437647e-04
     65      -3.3637631e+00      -3.3748829e+00       5.9123545e-04
     66      -3.3631656e+00      -3.3747054e+00       6.0834871e-04
     67      -3.3625658e+00      -3.3745242e+00       6.2566936e-04
     68      -3.3621138e+00      -3.3743417e+00       6.4253564e-04
     69      -3.3619608e+00      -3.3741623e+00       6.5780087e-04
     70      -3.3616537e+00      -3.3739836e+00       6.7223712e-04
     71      -3.3613454e+00      -3.3738056e+00       6.8593115e-04
     72      -3.3611862e+00      -3.3736303e+00       6.9843782e-04
     73      -3.3604200e+00      -3.3734494e+00       7.1192784e-04
     74      -3.3599525e+00      -3.3732670e+00       7.2529439e-04
     75      -3.3594823e+00      -3.3730832e+00       7.3854432e-04
     76      -3.3591602e+00      -3.3729000e+00       7.5120415e-04
     77      -3.3585346e+00      -3.3727134e+00       7.6426378e-04
     78      -3.3579074e+00      -3.3725236e+00       7.7768123e-04
     79      -3.3571265e+00      -3.3723287e+00       7.9188324e-04
     80      -3.3566447e+00      -3.3721326e+00       8.0588770e-04
     81      -3.3558583e+00      -3.3719317e+00       8.2060195e-04
     82      -3.3555232e+00      -3.3717316e+00       8.3463577e-04
     83      -3.3548842e+00      -3.3715286e+00       8.4890334e-04
     84      -3.3545466e+00      -3.3713265e+00       8.6253450e-04
     85      -3.3539053e+00      -3.3711215e+00       8.7639943e-04
     86      -3.3537154e+00      -3.3709191e+00       8.8927257e-04
     87      -3.3532217e+00      -3.3707157e+00       9.0201686e-04
     88      -3.3528778e+00      -3.3705130e+00       9.1425912e-04
     89      -3.3526847e+00      -3.3703127e+00       9.2567181e-04
     90      -3.3520382e+00      -3.3701096e+00       9.3739188e-04
     91      -3.3518435e+00      -3.3699089e+00       9.4833859e-04
     92      -3.3516481e+00      -3.3697104e+00       9.5857725e-04
     93      -3.3516040e+00      -3.3695157e+00       9.6783964e-04
     94      -3.3518637e+00      -3.3693279e+00       9.7559128e-04
     95      -3.3515205e+00      -3.3691405e+00       9.8316472e-04
     96      -3.3513280e+00      -3.3689549e+00       9.9027718e-04
     97      -3.3512878e+00      -3.3687728e+00       9.9667699e-04
     98      -3.3510985e+00      -3.3685925e+00       1.0026914e-03
     99      -3.3506092e+00      -3.3684108e+00       1.0088830e-03
    100      -3.3502724e+00      -3.3682294e+00       1.0149685e-03
    101      -3.3502400e+00      -3.3680513e+00       1.0204277e-03
    102      -3.3502109e+00      -3.3678764e+00       1.0253038e-03
    103      -3.3498827e+00      -3.3677017e+00       1.0301247e-03
    104      -3.3495580e+00      -3.3675272e+00       1.0348870e-03
    105      -3.3489351e+00      -3.3673502e+00       1.0400687e-03
    106      -3.3487699e+00      -3.3671749e+00       1.0449230e-03
    107      -3.3487601e+00      -3.3670028e+00       1.0492344e-03
    108      -3.3483013e+00      -3.3668296e+00       1.0537113e-03
    109      -3.3481498e+00      -3.3666583e+00       1.0578885e-03
    110      -3.3481556e+00      -3.3664901e+00       1.0615596e-03
    111      -3.3481674e+00      -3.3663250e+00       1.0647525e-03
    112      -3.3483366e+00      -3.3661644e+00       1.0672905e-03
    113      -3.3485121e+00      -3.3660082e+00       1.0692165e-03
    114      -3.3482405e+00      -3.3658523e+00       1.0711366e-03
    115      -3.3479763e+00      -3.3656969e+00       1.0730420e-03
    116      -3.3481727e+00      -3.3655458e+00       1.0743734e-03
    117      -3.3477716e+00      -3.3653939e+00       1.0758776e-03
    118      -3.3476805e+00      -3.3652438e+00       1.0771815e-03
    119      -3.3477487e+00      -3.3650967e+00       1.0781156e-03
    120      -3.3478241e+00      -3.3649528e+00       1.0786971e-03
    121      -3.3477564e+00      -3.3648107e+00       1.0791038e-03
    122      -3.3473947e+00      -3.3646679e+00       1.0796598e-03
    123      -3.3474949e+00      -3.3645283e+00       1.0798718e-03
    124      -3.3473011e+00      -3.3643894e+00       1.0800630e-03
    125      -3.3472662e+00      -3.3642524e+00       1.0800746e-03
    126      -3.3473912e+00      -3.3641186e+00       1.0797607e-03
    127      -3.3479790e+00      -3.3639915e+00       1.0787113e-03
    128      -3.3481218e+00      -3.3638675e+00       1.0773852e-03
    129      -3.3481208e+00      -3.3637454e+00       1.0759263e-03
    130      -3.3481285e+00      -3.3636253e+00       1.0743355e-03
    131      -3.3482956e+00      -3.3635083e+00       1.0724887e-03
    132      -3.3486220e+00      -3.3633955e+00       1.0702766e-03
    133      -3.3483521e+00      -3.3632824e+00       1.0681894e-03
    134      -3.3482406e+00      -3.3631702e+00       1.0660997e-03
    135      -3.3479858e+00      -3.3630577e+00       1.0641195e-03
    136      -3.3483438e+00      -3.3629495e+00       1.0617807e-03
    137      -3.3485581e+00      -3.3628444e+00       1.0592141e-03
    138      -3.3489310e+00      -3.3627436e+00       1.0563262e-03
    139      -3.3491607e+00      -3.3626459e+00       1.0532369e-03
    140      -3.3492469e+00      -3.3625502e+00       1.0500532e-03
    141      -3.3490376e+00      -3.3624544e+00       1.0469701e-03
    142      -3.3491369e+00      -3.3623606e+00       1.0437892e-03
    143      -3.3496972e+00      -3.3622720e+00       1.0402397e-03
    144      -3.3501131e+00      -3.3621876e+00       1.0364371e-03
    145      -3.3502333e+00      -3.3621051e+00       1.0325630e-03
    146      -3.3500582e+00      -3.3620226e+00       1.0287822e-03
    147      -3.3500410e+00      -3.3619411e+00       1.0250074e-03
    148      -3.3498790e+00      -3.3618596e+00       1.0213167e-03
    149      -3.3500255e+00      -3.3617802e+00       1.0175458e-03
    150      -3.3506319e+00      -3.3617059e+00       1.0134728e-03
    151      -3.3507911e+00      -3.3616336e+00       1.0093355e-03
    152      -3.3514100e+00      -3.3615663e+00       1.0049336e-03
    153      -3.3517330e+00      -3.3615021e+00       1.0004185e-03
    154      -3.3519111e+00      -3.3614398e+00       9.9585897e-04
    155      -3.3523979e+00      -3.3613814e+00       9.9114116e-04
    156      -3.3524368e+00      -3.3613241e+00       9.8644478e-04
    157      -3.3526327e+00      -3.3612687e+00       9.8171386e-04
    158      -3.3532888e+00      -3.3612182e+00       9.7679880e-04
    159      -3.3534970e+00      -3.3611697e+00       9.7186175e-04
    160      -3.3537106e+00      -3.3611231e+00       9.6690512e-04
    161      -3.3540816e+00      -3.3610793e+00       9.6188813e-04
    162      -3.3541557e+00      -3.3610366e+00       9.5689954e-04
    163      -3.3546888e+00      -3.3609976e+00       9.5182111e-04
    164      -3.3550764e+00      -3.3609615e+00       9.4670185e-04
