#BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
    165      -3.3553180e+00      -3.3609273e+00       9.4158193e-04
    166      -3.3555650e+00      -3.3608950e+00       9.3646371e-04
    167      -3.3558170e+00      -3.3608646e+00       9.3134967e-04
    168      -3.3556209e+00      -3.3608334e+00       9.2632879e-04
    169      -3.3560346e+00      -3.3608050e+00       9.2128267e-04
    170      -3.3561503e+00      -3.3607776e+00       9.1627014e-04
    171      -3.3567242e+00      -3.3607539e+00       9.1121841e-04
    172      -3.3573024e+00      -3.3607339e+00       9.0614156e-04
    173      -3.3578841e+00      -3.3607174e+00       9.0105346e-04
    174      -3.3580164e+00      -3.3607019e+00       8.9600870e-04
    175      -3.3583030e+00      -3.3606882e+00       8.9099350e-04
    176      -3.3587440e+00      -3.3606771e+00       8.8599951e-04
    177      -3.3590367e+00      -3.3606678e+00       8.8104233e-04
    178      -3.3596339e+00      -3.3606620e+00       8.7611180e-04
    179      -3.3596293e+00      -3.3606563e+00       8.7123632e-04
    180      -3.3600809e+00      -3.3606531e+00       8.6640198e-04
    181      -3.3608359e+00      -3.3606541e+00       8.6161582e-04
    182      -3.3612896e+00      -3.3606576e+00       8.5688874e-04
    183      -3.3617430e+00      -3.3606635e+00       8.5222682e-04
    184      -3.3623469e+00      -3.3606727e+00       8.4764425e-04
    185      -3.3627994e+00      -3.3606842e+00       8.4314034e-04
    186      -3.3630997e+00      -3.3606971e+00       8.3870734e-04
    187      -3.3632463e+00      -3.3607108e+00       8.3433304e-04
    188      -3.3636924e+00      -3.3607266e+00       8.3004583e-04
    189      -3.3641358e+00      -3.3607447e+00       8.2585003e-04
    190      -3.3645756e+00      -3.3607648e+00       8.2174954e-04
    191      -3.3647094e+00      -3.3607855e+00       8.1770665e-04
    192      -3.3648386e+00      -3.3608066e+00       8.1372021e-04
    193      -3.3651133e+00      -3.3608289e+00       8.0980995e-04
    194      -3.3653827e+00      -3.3608524e+00       8.0597581e-04
    195      -3.3654941e+00      -3.3608762e+00       8.0219404e-04
    196      -3.3659007e+00      -3.3609018e+00       7.9851071e-04
    197      -3.3659976e+00      -3.3609277e+00       7.9487620e-04
    198      -3.3660868e+00      -3.3609537e+00       7.9128862e-04
    199      -3.3663184e+00      -3.3609807e+00       7.8777137e-04
    200      -3.3668435e+00      -3.3610100e+00       7.8437773e-04
    201      -3.3670573e+00      -3.3610401e+00       7.8105213e-04
    202      -3.3674125e+00      -3.3610716e+00       7.7782235e-04
    203      -3.3677579e+00      -3.3611046e+00       7.7468777e-04
    204      -3.3679422e+00      -3.3611381e+00       7.7161504e-04
    205      -3.3685696e+00      -3.3611744e+00       7.6870216e-04
    206      -3.3682810e+00      -3.3612089e+00       7.6574433e-04
    207      -3.3684345e+00      -3.3612438e+00       7.6284028e-04
    208      -3.3685769e+00      -3.3612790e+00       7.5998703e-04
    209      -3.3690116e+00      -3.3613160e+00       7.5725076e-04
    210      -3.3688312e+00      -3.3613518e+00       7.5448994e-04
    211      -3.3689427e+00      -3.3613878e+00       7.5177138e-04
    212      -3.3691951e+00      -3.3614246e+00       7.4912676e-04
    213      -3.3691344e+00      -3.3614608e+00       7.4648370e-04
    214      -3.3693663e+00      -3.3614977e+00       7.4390898e-04
    215      -3.3694368e+00      -3.3615347e+00       7.4136483e-04
    216      -3.3696486e+00      -3.3615722e+00       7.3888367e-04
    217      -3.3700022e+00      -3.3616111e+00       7.3649921e-04
    218      -3.3700447e+00      -3.3616498e+00       7.3413613e-04
    219      -3.3700782e+00      -3.3616882e+00       7.3179199e-04
    220      -3.3702548e+00      -3.3617272e+00       7.2950089e-04
    221      -3.3705749e+00      -3.3617672e+00       7.2729771e-04
    222      -3.3708872e+00      -3.3618083e+00       7.2518089e-04
    223      -3.3705886e+00      -3.3618477e+00       7.2299704e-04
    224      -3.3708882e+00      -3.3618880e+00       7.2089497e-04
    225      -3.3708785e+00      -3.3619280e+00       7.1879751e-04
    226      -3.3710135e+00      -3.3619682e+00       7.1674032e-04
    227      -3.3708412e+00      -3.3620073e+00       7.1464794e-04
    228      -3.3708153e+00      -3.3620459e+00       7.1255690e-04
    229      -3.3709366e+00      -3.3620847e+00       7.1050218e-04
    230      -3.3709022e+00      -3.3621231e+00       7.0844655e-04
    231      -3.3705618e+00      -3.3621596e+00       7.0632092e-04
    232      -3.3705203e+00      -3.3621956e+00       7.0419518e-04
    233      -3.3706269e+00      -3.3622318e+00       7.0210199e-04
    234      -3.3707321e+00      -3.3622682e+00       7.0004065e-04
    235      -3.3705332e+00      -3.3623033e+00       6.9794470e-04
    236      -3.3707857e+00      -3.3623393e+00       6.9591215e-04
    237      -3.3708853e+00      -3.3623753e+00       6.9390940e-04
    238      -3.3709831e+00      -3.3624115e+00       6.9193569e-04
    239      -3.3707779e+00      -3.3624465e+00       6.8992548e-04
    240      -3.3710262e+00      -3.3624822e+00       6.8797633e-04
    241      -3.3706706e+00      -3.3625162e+00       6.8596013e-04
    242      -3.3706167e+00      -3.3625497e+00       6.8394179e-04
    243      -3.3704118e+00      -3.3625821e+00       6.8189206e-04
    244      -3.3705098e+00      -3.3626145e+00       6.7987103e-04
    245      -3.3704569e+00      -3.3626466e+00       6.7784917e-04
    246      -3.3702541e+00      -3.3626775e+00       6.7579875e-04
    247      -3.3702040e+00      -3.3627080e+00       6.7374936e-04
    248      -3.3704582e+00      -3.3627392e+00       6.7175702e-04
    249      -3.3707139e+00      -3.3627712e+00       6.6982222e-04
    250      -3.3706684e+00      -3.3628028e+00       6.6788738e-04
    251      -3.3707754e+00      -3.3628346e+00       6.6598135e-04
    252      -3.3710353e+00      -3.3628671e+00       6.6413317e-04
    253      -3.3709954e+00      -3.3628993e+00       6.6228476e-04
    254      -3.3708062e+00      -3.3629304e+00       6.6040854e-04
    255      -3.3707697e+00      -3.3629611e+00       6.5853385e-04
    256      -3.3704329e+00      -3.3629903e+00       6.5660792e-04
    257      -3.3707028e+00      -3.3630203e+00       6.5473846e-04
    258      -3.3705213e+00      -3.3630494e+00       6.5284589e-04
    259      -3.3700402e+00      -3.3630764e+00       6.5088298e-04
    260      -3.3701652e+00      -3.3631036e+00       6.4895038e-04
    261      -3.3702918e+00      -3.3631312e+00       6.4704812e-04
    262      -3.3702695e+00      -3.3631584e+00       6.4515183e-04
    263      -3.3705510e+00      -3.3631865e+00       6.4331082e-04
    264      -3.3703817e+00      -3.3632138e+00       6.4145111e-04
    265      -3.3708192e+00      -3.3632425e+00       6.3967225e-04
    266      -3.3705015e+00      -3.3632698e+00       6.3784930e-04
    267      -3.3703359e+00      -3.3632963e+00       6.3600914e-04
    268      -3.3704746e+00      -3.3633230e+00       6.3419974e-04
    269      -3.3704637e+00      -3.3633496e+00       6.3239742e-04
    270      -3.3703030e+00      -3.3633753e+00       6.3057937e-04
    271      -3.3699924e+00      -3.3633998e+00       6.2872507e-04
    272      -3.3699841e+00      -3.3634240e+00       6.2687943e-04
    273      -3.3698261e+00      -3.3634474e+00       6.2502165e-04
    274      -3.3696688e+00      -3.3634701e+00       6.2315284e-04
    275      -3.3698134e+00      -3.3634932e+00       6.2131360e-04
    276      -3.3696568e+00      -3.3635155e+00       6.1946367e-04
    277      -3.3695000e+00      -3.3635371e+00       6.1760397e-04
    278      -3.3694949e+00      -3.3635586e+00       6.1575409e-04
    279      -3.3694896e+00      -3.3635798e+00       6.1391393e-04
    280      -3.3697867e+00      -3.3636020e+00       6.1212147e-04
    281      -3.3697815e+00      -3.3636240e+00       6.1033800e-04
    282      -3.3697757e+00      -3.3636458e+00       6.0856340e-04
    283      -3.3697694e+00      -3.3636674e+00       6.0679756e-04
    284      -3.3696117e+00      -3.3636884e+00       6.0502183e-04
    285      -3.3697563e+00      -3.3637096e+00       6.0327345e-04
    286      -3.3699003e+00      -3.3637313e+00       6.0155230e-04
    287      -3.3701954e+00      -3.3637538e+00       5.9987780e-04
    288      -3.3700370e+00      -3.3637756e+00       5.9819148e-04
    289      -3.3697273e+00      -3.3637962e+00       5.9647600e-04
    290      -3.3695673e+00      -3.3638161e+00       5.9475106e-04
    291      -3.3697093e+00      -3.3638364e+00       5.9305193e-04
    292      -3.3695486e+00      -3.3638559e+00       5.9134349e-04
    293      -3.3696894e+00      -3.3638758e+00       5.8966031e-04
    294      -3.3696786e+00      -3.3638956e+00       5.8798489e-04
    295      -3.3698182e+00      -3.3639157e+00       5.8633438e-04
    296      -3.3693535e+00      -3.3639340e+00       5.8464125e-04
    297      -3.3693419e+00      -3.3639522e+00       5.8295623e-04
    298      -3.3693299e+00      -3.3639703e+00       5.8127925e-04
    299      -3.3693180e+00      -3.3639882e+00       5.7961026e-04
    300      -3.3694570e+00      -3.3640064e+00       5.7796482e-04
    301      -3.3695958e+00      -3.3640250e+00       5.7634291e-04
    302      -3.3695835e+00      -3.3640434e+00       5.7472831e-04
    303      -3.3694202e+00      -3.3640611e+00       5.7310541e-04
    304      -3.3697108e+00      -3.3640797e+00       5.7152143e-04
    305      -3.3695487e+00      -3.3640976e+00       5.6992882e-04
    306      -3.3696893e+00      -3.3641159e+00       5.6835918e-04
    307      -3.3696801e+00      -3.3641340e+00       5.6679676e-04
    308      -3.3698228e+00      -3.3641525e+00       5.6525736e-04
    309      -3.3695128e+00      -3.3641699e+00       5.6369418e-04
    310      -3.3693552e+00      -3.3641866e+00       5.6212393e-04
    311      -3.3696520e+00      -3.3642042e+00       5.6059110e-04
    312      -3.3697996e+00      -3.3642221e+00       5.5908113e-04
    313      -3.3691938e+00      -3.3642380e+00       5.5752052e-04
    314      -3.3691930e+00      -3.3642537e+00       5.5596826e-04
    315      -3.3693452e+00      -3.3642699e+00       5.5443819e-04
    316      -3.3694991e+00      -3.3642865e+00       5.5293053e-04
    317      -3.3696539e+00      -3.3643034e+00       5.5144545e-04
    318      -3.3695087e+00      -3.3643198e+00       5.4995423e-04
    319      -3.3695157e+00      -3.3643361e+00       5.4847139e-04
    320      -3.3696749e+00      -3.3643527e+00       5.4701112e-04
    321      -3.3693829e+00      -3.3643684e+00       5.4553144e-04
    322      -3.3698486e+00      -3.3643854e+00       5.4410266e-04
    323      -3.3703154e+00      -3.3644038e+00       5.4272778e-04
    324      -3.3706327e+00      -3.3644230e+00       5.4139309e-04
    325      -3.3708003e+00      -3.3644426e+00       5.4008275e-04
    326      -3.3709687e+00      -3.3644626e+00       5.3879693e-04
    327      -3.3709862e+00      -3.3644826e+00       5.3751844e-04
    328      -3.3710045e+00      -3.3645025e+00       5.3624731e-04
    329      -3.3711745e+00      -3.3645228e+00       5.3500071e-04
    330      -3.3711936e+00      -3.3645430e+00       5.3376127e-04
    331      -3.3713643e+00      -3.3645636e+00       5.3254638e-04
    332      -3.3712330e+00      -3.3645837e+00       5.3132108e-04
    333      -3.3715541e+00      -3.3646046e+00       5.3013769e-04
    334      -3.3717232e+00      -3.3646259e+00       5.2897870e-04
    335      -3.3715891e+00      -3.3646467e+00       5.2780788e-04
    336      -3.3720590e+00      -3.3646688e+00       5.2669784e-04
    337      -3.3720738e+00      -3.3646907e+00       5.2559310e-04
    338      -3.3720864e+00      -3.3647126e+00       5.2449334e-04
    339      -3.3722484e+00      -3.3647348e+00       5.2341702e-04
    340      -3.3722577e+00      -3.3647570e+00       5.2234501e-04
    341      -3.3719627e+00      -3.3647781e+00       5.2124045e-04
    342      -3.3716652e+00      -3.3647982e+00       5.2010521e-04
    343      -3.3716672e+00      -3.3648183e+00       5.1897428e-04
    344      -3.3718172e+00      -3.3648386e+00       5.1786428e-04
    345      -3.3718126e+00      -3.3648588e+00       5.1675760e-04
    346      -3.3718050e+00      -3.3648789e+00       5.1565390e-04
    347      -3.3716437e+00      -3.3648984e+00       5.1453625e-04
    348      -3.3714790e+00      -3.3649173e+00       5.1340506e-04
    349      -3.3714625e+00      -3.3649361e+00       5.1227640e-04
    350      -3.3714428e+00      -3.3649547e+00       5.1114997e-04
    351      -3.3714195e+00      -3.3649731e+00       5.1002544e-04
    352      -3.3716948e+00      -3.3649922e+00       5.0893386e-04
    353      -3.3715139e+00      -3.3650106e+00       5.0782735e-04
    354      -3.3714814e+00      -3.3650289e+00       5.0672168e-04
    355      -3.3715966e+00      -3.3650474e+00       5.0563191e-04
    356      -3.3715580e+00      -3.3650657e+00       5.0454222e-04
    357      -3.3715165e+00      -3.3650838e+00       5.0345239e-04
    358      -3.3711701e+00      -3.3651008e+00       5.0233307e-04
    359      -3.3711240e+00      -3.3651176e+00       5.0121391e-04
    360      -3.3707737e+00      -3.3651333e+00       5.0006785e-04
    361      -3.3707233e+00      -3.3651488e+00       4.9892231e-04
    362      -3.3705198e+00      -3.3651636e+00       4.9776464e-04
    363      -3.3706180e+00      -3.3651786e+00       4.9662012e-04
    364      -3.3705641e+00      -3.3651934e+00       4.9547612e-04
    365      -3.3703574e+00      -3.3652076e+00       4.9432060e-04
    366      -3.3698484e+00      -3.3652202e+00       4.9313260e-04
    367      -3.3699430e+00      -3.3652331e+00       4.9195679e-04
    368      -3.3697353e+00      -3.3652453e+00       4.9077205e-04
    369      -3.3698298e+00      -3.3652578e+00       4.8959928e-04
    370      -3.3696223e+00      -3.3652696e+00       4.8841811e-04
    371      -3.3694156e+00      -3.3652807e+00       4.8722945e-04
    372      -3.3693605e+00      -3.3652917e+00       4.8604311e-04
    373      -3.3690046e+00      -3.3653017e+00       4.8484197e-04
    374      -3.3689519e+00      -3.3653114e+00       4.8364383e-04
    375      -3.3687501e+00      -3.3653206e+00       4.8244103e-04
    376      -3.3685503e+00      -3.3653292e+00       4.8123441e-04
    377      -3.3686540e+00      -3.3653380e+00       4.8003873e-04
    378      -3.3686087e+00      -3.3653467e+00       4.7884676e-04
    379      -3.3684144e+00      -3.3653547e+00       4.7765172e-04
    380      -3.3683734e+00      -3.3653627e+00       4.7646080e-04
    381      -3.3681838e+00      -3.3653701e+00       4.7526777e-04
    382      -3.3679967e+00      -3.3653770e+00       4.7407335e-04
    383      -3.3679631e+00      -3.3653837e+00       4.7288365e-04
    384      -3.3677815e+00      -3.3653900e+00       4.7169340e-04
    385      -3.3679046e+00      -3.3653965e+00       4.7051344e-04
    386      -3.3678797e+00      -3.3654029e+00       4.6933847e-04
    387      -3.3669518e+00      -3.3654069e+00       4.6814278e-04
    388      -3.3667830e+00      -3.3654105e+00       4.6694966e-04
    389      -3.3669189e+00      -3.3654144e+00       4.6576537e-04
    390      -3.3667551e+00      -3.3654178e+00       4.6458379e-04
    391      -3.3665939e+00      -3.3654208e+00       4.6340533e-04
    392      -3.3665864e+00      -3.3654238e+00       4.6223271e-04
    393      -3.3664307e+00      -3.3654263e+00       4.6106365e-04
    394      -3.3665800e+00      -3.3654293e+00       4.5990273e-04
    395      -3.3667327e+00      -3.3654326e+00       4.5875026e-04
    396      -3.3665862e+00      -3.3654355e+00       4.5760105e-04
    397      -3.3667441e+00      -3.3654388e+00       4.5646028e-04
    398      -3.3669050e+00      -3.3654425e+00       4.5532826e-04
    399      -3.3667656e+00      -3.3654458e+00       4.5419916e-04
    400      -3.3666285e+00      -3.3654487e+00       4.5307329e-04
    401      -3.3670983e+00      -3.3654528e+00       4.5196210e-04
    402      -3.3669660e+00      -3.3654566e+00       4.5085349e-04
    403      -3.3669866e+00      -3.3654604e+00       4.4975073e-04
    404      -3.3670093e+00      -3.3654642e+00       4.4865383e-04
    405      -3.3668830e+00      -3.3654677e+00       4.4755972e-04
    406      -3.3670612e+00      -3.3654717e+00       4.4647456e-04
    407      -3.3667891e+00      -3.3654749e+00       4.4538931e-04
    408      -3.3668204e+00      -3.3654782e+00       4.4430988e-04
    409      -3.3667016e+00      -3.3654812e+00       4.4323361e-04
    410      -3.3668861e+00      -3.3654846e+00       4.4216580e-04
    411      -3.3667706e+00      -3.3654878e+00       4.4110104e-04
    412      -3.3669587e+00      -3.3654913e+00       4.4004486e-04
    413      -3.3669967e+00      -3.3654950e+00       4.3899447e-04
    414      -3.3670363e+00      -3.3654987e+00       4.3794988e-04
    415      -3.3670768e+00      -3.3655025e+00       4.3691109e-04
    416      -3.3669673e+00      -3.3655060e+00       4.3587501e-04
    417      -3.3667088e+00      -3.3655089e+00       4.3483929e-04
    418      -3.3667533e+00      -3.3655119e+00       4.3380919e-04
    419      -3.3666487e+00      -3.3655146e+00       4.3278233e-04
    420      -3.3663946e+00      -3.3655167e+00       4.3175697e-04
    421      -3.3664428e+00      -3.3655189e+00       4.3073702e-04
    422      -3.3663406e+00      -3.3655208e+00       4.2972072e-04
    423      -3.3666935e+00      -3.3655236e+00       4.2871378e-04
    424      -3.3667459e+00      -3.3655265e+00       4.2771235e-04
    425      -3.3667990e+00      -3.3655295e+00       4.2671645e-04
    426      -3.3670043e+00      -3.3655329e+00       4.2572881e-04
    427      -3.3669090e+00      -3.3655362e+00       4.2474398e-04
    428      -3.3671171e+00      -3.3655399e+00       4.2376765e-04
    429      -3.3670248e+00      -3.3655433e+00       4.2279398e-04
    430      -3.3667837e+00      -3.3655462e+00       4.2182058e-04
    431      -3.3669973e+00      -3.3655496e+00       4.2085532e-04
    432      -3.3672119e+00      -3.3655534e+00       4.1989871e-04
    433      -3.3672771e+00      -3.3655574e+00       4.1894783e-04
    434      -3.3674948e+00      -3.3655619e+00       4.1800630e-04
    435      -3.3672600e+00      -3.3655658e+00       4.1706359e-04
