#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
    106       1.6610563e+00       1.8971179e+00       9.2101357e-03
    107       1.6526845e+00       1.8948335e+00       9.4031001e-03
    108       1.6442056e+00       1.8925129e+00       9.5981222e-03
    109       1.6356226e+00       1.8901561e+00       9.7951449e-03
    110       1.6269390e+00       1.8877632e+00       9.9941069e-03
    111       1.6181589e+00       1.8853343e+00       1.0194942e-02
    112       1.6092863e+00       1.8828696e+00       1.0397581e-02
    113       1.6003252e+00       1.8803692e+00       1.0601951e-02
    114       1.5912799e+00       1.8778333e+00       1.0807973e-02
    115       1.5821545e+00       1.8752622e+00       1.1015570e-02
    116       1.5729538e+00       1.8726561e+00       1.1224657e-02
    117       1.5636830e+00       1.8700153e+00       1.1435147e-02
    118       1.5543466e+00       1.8673402e+00       1.1646952e-02
    119       1.5449498e+00       1.8646310e+00       1.1859979e-02
    120       1.5354979e+00       1.8618882e+00       1.2074133e-02
    121       1.5259957e+00       1.8591123e+00       1.2289317e-02
    122       1.5164486e+00       1.8563035e+00       1.2505432e-02
    123       1.5068623e+00       1.8534626e+00       1.2722378e-02
    124       1.4972422e+00       1.8505898e+00       1.2940050e-02
    125       1.4875941e+00       1.8476858e+00       1.3158345e-02
    126       1.4779229e+00       1.8447512e+00       1.3377158e-02
    127       1.4682346e+00       1.8417865e+00       1.3596382e-02
    128       1.4585355e+00       1.8387924e+00       1.3815907e-02
    129       1.4488312e+00       1.8357694e+00       1.4035627e-02
    130       1.4391266e+00       1.8327183e+00       1.4255431e-02
    131       1.4294271e+00       1.8296398e+00       1.4475213e-02
    132       1.4197387e+00       1.8265344e+00       1.4694863e-02
    133       1.4100666e+00       1.8234031e+00       1.4914273e-02
    134       1.4004163e+00       1.8202465e+00       1.5133336e-02
    135       1.3907927e+00       1.8170654e+00       1.5351947e-02
    136       1.3812009e+00       1.8138605e+00       1.5569999e-02
    137       1.3716463e+00       1.8106326e+00       1.5787388e-02
    138       1.3621342e+00       1.8073826e+00       1.6004012e-02
    139       1.3526693e+00       1.8041113e+00       1.6219769e-02
    140       1.3432572e+00       1.8008195e+00       1.6434557e-02
    141       1.3339029e+00       1.7975080e+00       1.6648278e-02
    142       1.3246106e+00       1.7941778e+00       1.6860834e-02
    143       1.3153849e+00       1.7908296e+00       1.7072130e-02
    144       1.3062305e+00       1.7874643e+00       1.7282074e-02
    145       1.2971523e+00       1.7840828e+00       1.7490572e-02
    146       1.2881545e+00       1.7806861e+00       1.7697536e-02
    147       1.2792416e+00       1.7772749e+00       1.7902879e-02
    148       1.2704180e+00       1.7738502e+00       1.8106513e-02
    149       1.2616881e+00       1.7704128e+00       1.8308356e-02
    150       1.2530562e+00       1.7669638e+00       1.8508326e-02
    151       1.2445269e+00       1.7635040e+00       1.8706342e-02
    152       1.2361039e+00       1.7600342e+00       1.8902326e-02
    153       1.2277915e+00       1.7565555e+00       1.9096203e-02
    154       1.2195940e+00       1.7530687e+00       1.9287898e-02
    155       1.2115154e+00       1.7495749e+00       1.9477339e-02
    156       1.2035599e+00       1.7460748e+00       1.9664455e-02
    157       1.1957314e+00       1.7425694e+00       1.9849177e-02
    158       1.1880339e+00       1.7390597e+00       2.0031440e-02
    159       1.1804716e+00       1.7355465e+00       2.0211176e-02
    160       1.1730484e+00       1.7320309e+00       2.0388324e-02
    161       1.1657677e+00       1.7285138e+00       2.0562821e-02
    162       1.1586336e+00       1.7249960e+00       2.0734608e-02
    163       1.1516499e+00       1.7214785e+00       2.0903628e-02
    164       1.1448202e+00       1.7179623e+00       2.1069823e-02
    165       1.1381485e+00       1.7144483e+00       2.1233139e-02
    166       1.1316380e+00       1.7109374e+00       2.1393524e-02
    167       1.1252923e+00       1.7074305e+00       2.1550927e-02
    168       1.1191148e+00       1.7039286e+00       2.1705299e-02
    169       1.1131091e+00       1.7004327e+00       2.1856592e-02
    170       1.1072787e+00       1.6969435e+00       2.2004761e-02
    171       1.1016263e+00       1.6934621e+00       2.2149763e-02
    172       1.0961554e+00       1.6899894e+00       2.2291555e-02
    173       1.0908686e+00       1.6865263e+00       2.2430097e-02
    174       1.0857685e+00       1.6830737e+00       2.2565353e-02
    175       1.0808574e+00       1.6796324e+00       2.2697287e-02
    176       1.0761375e+00       1.6762035e+00       2.2825867e-02
    177       1.0716110e+00       1.6727877e+00       2.2951061e-02
    178       1.0672797e+00       1.6693860e+00       2.3072842e-02
    179       1.0631453e+00       1.6659992e+00       2.3191184e-02
    180       1.0592093e+00       1.6626281e+00       2.3306063e-02
    181       1.0554731e+00       1.6592737e+00       2.3417459e-02
    182       1.0519380e+00       1.6559366e+00       2.3525354e-02
    183       1.0486044e+00       1.6526179e+00       2.3629732e-02
    184       1.0454723e+00       1.6493182e+00       2.3730579e-02
    185       1.0425414e+00       1.6460383e+00       2.3827889e-02
    186       1.0398113e+00       1.6427790e+00       2.3921653e-02
    187       1.0372813e+00       1.6395411e+00       2.4011869e-02
    188       1.0349496e+00       1.6363252e+00       2.4098538e-02
    189       1.0328146e+00       1.6331320e+00       2.4181663e-02
    190       1.0308743e+00       1.6299622e+00       2.4261252e-02
    191       1.0291264e+00       1.6268165e+00       2.4337315e-02
    192       1.0275681e+00       1.6236954e+00       2.4409866e-02
    193       1.0261964e+00       1.6205995e+00       2.4478923e-02
    194       1.0250078e+00       1.6175295e+00       2.4544506e-02
    195       1.0239982e+00       1.6144857e+00       2.4606640e-02
    196       1.0231635e+00       1.6114688e+00       2.4665352e-02
    197       1.0224987e+00       1.6084791e+00       2.4720674e-02
    198       1.0219990e+00       1.6055171e+00       2.4772641e-02
    199       1.0216591e+00       1.6025831e+00       2.4821289e-02
    200       1.0214732e+00       1.5996775e+00       2.4866661e-02
    201       1.0214356e+00       1.5968007e+00       2.4908801e-02
    202       1.0215402e+00       1.5939529e+00       2.4947755e-02
    203       1.0217804e+00       1.5911343e+00       2.4983573e-02
    204       1.0221498e+00       1.5883452e+00       2.5016308e-02
    205       1.0226417e+00       1.5855856e+00       2.5046016e-02
    206       1.0232494e+00       1.5828559e+00       2.5072753e-02
    207       1.0239662e+00       1.5801559e+00       2.5096579e-02
    208       1.0247850e+00       1.5774859e+00       2.5117556e-02
    209       1.0256984e+00       1.5748457e+00       2.5135747e-02
    210       1.0266995e+00       1.5722355e+00       2.5151217e-02
    211       1.0277816e+00       1.5696552e+00       2.5164032e-02
    212       1.0289376e+00       1.5671046e+00       2.5174260e-02
    213       1.0301606e+00       1.5645837e+00       2.5181970e-02
    214       1.0314437e+00       1.5620924e+00       2.5187231e-02
    215       1.0327802e+00       1.5596305e+00       2.5190114e-02
    216       1.0341632e+00       1.5571978e+00       2.5190688e-02
    217       1.0355864e+00       1.5547941e+00       2.5189025e-02
    218       1.0370438e+00       1.5524191e+00       2.5185197e-02
    219       1.0385291e+00       1.5500725e+00       2.5179273e-02
    220       1.0400363e+00       1.5477542e+00       2.5171324e-02
    221       1.0415603e+00       1.5454637e+00       2.5161422e-02
    222       1.0430960e+00       1.5432008e+00       2.5149635e-02
    223       1.0446383e+00       1.5409651e+00       2.5136033e-02
    224       1.0461826e+00       1.5387562e+00       2.5120683e-02
    225       1.0477248e+00       1.5365739e+00       2.5103653e-02
    226       1.0492603e+00       1.5344176e+00       2.5085009e-02
    227       1.0507851e+00       1.5322871e+00       2.5064816e-02
    228       1.0522955e+00       1.5301818e+00       2.5043136e-02
    229       1.0537885e+00       1.5281015e+00       2.5020034e-02
    230       1.0552614e+00       1.5260457e+00       2.4995569e-02
    231       1.0567113e+00       1.5240140e+00       2.4969802e-02
    232       1.0581356e+00       1.5220059e+00       2.4942789e-02
    233       1.0595322e+00       1.5200210e+00       2.4914588e-02
    234       1.0608992e+00       1.5180589e+00       2.4885253e-02
    235       1.0622353e+00       1.5161193e+00       2.4854837e-02
    236       1.0635395e+00       1.5142015e+00       2.4823392e-02
    237       1.0648107e+00       1.5123054e+00       2.4790966e-02
    238       1.0660476e+00       1.5104303e+00       2.4757609e-02
