#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
    106       1.2989480e+00       1.4688232e+00       6.5782200e-03
    107       1.2928425e+00       1.4671785e+00       6.7191970e-03
    108       1.2866637e+00       1.4655071e+00       6.8617225e-03
    109       1.2804024e+00       1.4638089e+00       7.0057646e-03
    110       1.2740636e+00       1.4620839e+00       7.1512827e-03
    111       1.2676524e+00       1.4603323e+00       7.2982274e-03
    112       1.2611696e+00       1.4585540e+00       7.4465509e-03
    113       1.2546205e+00       1.4567493e+00       7.5961981e-03
    114       1.2480148e+00       1.4549183e+00       7.7470972e-03
    115       1.2413488e+00       1.4530612e+00       7.8991897e-03
    116       1.2346195e+00       1.4511781e+00       8.0524272e-03
    117       1.2278464e+00       1.4492693e+00       8.2067266e-03
    118       1.2210193e+00       1.4473349e+00       8.3620308e-03
    119       1.2141443e+00       1.4453753e+00       8.5182755e-03
    120       1.2072276e+00       1.4433908e+00       8.6753893e-03
    121       1.2002751e+00       1.4413816e+00       8.8332960e-03
    122       1.1932930e+00       1.4393480e+00       8.9919134e-03
    123       1.1862741e+00       1.4372905e+00       9.1511792e-03
    124       1.1792340e+00       1.4352094e+00       9.3110080e-03
    125       1.1721699e+00       1.4331051e+00       9.4713263e-03
    126       1.1650858e+00       1.4309780e+00       9.6320595e-03
    127       1.1579815e+00       1.4288284e+00       9.7931395e-03
    128       1.1508751e+00       1.4266569e+00       9.9544728e-03
    129       1.1437663e+00       1.4244639e+00       1.0115974e-02
    130       1.1366564e+00       1.4222500e+00       1.0277563e-02
    131       1.1295475e+00       1.4200157e+00       1.0439162e-02
    132       1.1224438e+00       1.4177613e+00       1.0600695e-02
    133       1.1153604e+00       1.4154876e+00       1.0762065e-02
    134       1.1082903e+00       1.4131951e+00       1.0923196e-02
    135       1.1012414e+00       1.4108844e+00       1.1084007e-02
    136       1.0942065e+00       1.4085558e+00       1.1244433e-02
    137       1.0872008e+00       1.4062102e+00       1.1404392e-02
    138       1.0802236e+00       1.4038480e+00       1.1563810e-02
    139       1.0732831e+00       1.4014698e+00       1.1722608e-02
    140       1.0663833e+00       1.3990763e+00       1.1880708e-02
    141       1.0595301e+00       1.3966682e+00       1.2038029e-02
    142       1.0527180e+00       1.3942460e+00       1.2194505e-02
    143       1.0459477e+00       1.3918104e+00       1.2350074e-02
    144       1.0392321e+00       1.3893619e+00       1.2504664e-02
    145       1.0325768e+00       1.3869013e+00       1.2658199e-02
    146       1.0259849e+00       1.3844293e+00       1.2810608e-02
    147       1.0194532e+00       1.3819465e+00       1.2961827e-02
    148       1.0129894e+00       1.3794535e+00       1.3111791e-02
    149       1.0065900e+00       1.3769511e+00       1.3260443e-02
    150       1.0002559e+00       1.3744398e+00       1.3407730e-02
    151       9.9400410e-01       1.3719203e+00       1.3553584e-02
    152       9.8782391e-01       1.3693934e+00       1.3697954e-02
    153       9.8172961e-01       1.3668596e+00       1.3840779e-02
    154       9.7572218e-01       1.3643198e+00       1.3982000e-02
    155       9.6979796e-01       1.3617745e+00       1.4121568e-02
    156       9.6397120e-01       1.3592244e+00       1.4259424e-02
    157       9.5823584e-01       1.3566704e+00       1.4395517e-02
    158       9.5259037e-01       1.3541129e+00       1.4529807e-02
    159       9.4705146e-01       1.3515528e+00       1.4662236e-02
    160       9.4161517e-01       1.3489907e+00       1.4792758e-02
    161       9.3628182e-01       1.3464272e+00       1.4921329e-02
    162       9.3106124e-01       1.3438633e+00       1.5047899e-02
    163       9.2594503e-01       1.3412993e+00       1.5172433e-02
    164       9.2094485e-01       1.3387362e+00       1.5294886e-02
    165       9.1606360e-01       1.3361746e+00       1.5415216e-02
    166       9.1130151e-01       1.3336151e+00       1.5533382e-02
    167       9.0666124e-01       1.3310585e+00       1.5649347e-02
    168       9.0215206e-01       1.3285055e+00       1.5763069e-02
    169       8.9776101e-01       1.3259567e+00       1.5874519e-02
    170       8.9350408e-01       1.3234128e+00       1.5983661e-02
    171       8.8937226e-01       1.3208746e+00       1.6090468e-02
    172       8.8537465e-01       1.3183426e+00       1.6194908e-02
    173       8.8151344e-01       1.3158176e+00       1.6296951e-02
    174       8.7779709e-01       1.3133002e+00       1.6396563e-02
    175       8.7421851e-01       1.3107912e+00       1.6493721e-02
    176       8.7077932e-01       1.3082911e+00       1.6588401e-02
    177       8.6748557e-01       1.3058007e+00       1.6680578e-02
    178       8.6433203e-01       1.3033205e+00       1.6770236e-02
    179       8.6133327e-01       1.3008513e+00       1.6857346e-02
    180       8.5847485e-01       1.2983937e+00       1.6941898e-02
    181       8.5576020e-01       1.2959482e+00       1.7023880e-02
    182       8.5319907e-01       1.2935155e+00       1.7103272e-02
    183       8.5078737e-01       1.2910962e+00       1.7180065e-02
    184       8.4852296e-01       1.2886909e+00       1.7254249e-02
    185       8.4641000e-01       1.2863002e+00       1.7325817e-02
    186       8.4444831e-01       1.2839247e+00       1.7394761e-02
    187       8.4263729e-01       1.2815649e+00       1.7461078e-02
    188       8.4096899e-01       1.2792213e+00       1.7524771e-02
    189       8.3944664e-01       1.2768944e+00       1.7585842e-02
    190       8.3806877e-01       1.2745848e+00       1.7644298e-02
    191       8.3683813e-01       1.2722929e+00       1.7700142e-02
    192       8.3574830e-01       1.2700193e+00       1.7753385e-02
    193       8.3479472e-01       1.2677642e+00       1.7804042e-02
    194       8.3397697e-01       1.2655282e+00       1.7852127e-02
    195       8.3329446e-01       1.2633116e+00       1.7897658e-02
    196       8.3273724e-01       1.2611148e+00       1.7940658e-02
    197       8.3231061e-01       1.2589381e+00       1.7981148e-02
    198       8.3200646e-01       1.2567819e+00       1.8019152e-02
    199       8.3181867e-01       1.2546464e+00       1.8054702e-02
    200       8.3174068e-01       1.2525319e+00       1.8087829e-02
    201       8.3177714e-01       1.2504386e+00       1.8118564e-02
    202       8.3191680e-01       1.2483667e+00       1.8146944e-02
    203       8.3215702e-01       1.2463164e+00       1.8173005e-02
    204       8.3249523e-01       1.2442879e+00       1.8196785e-02
    205       8.3291744e-01       1.2422812e+00       1.8218330e-02
    206       8.3343875e-01       1.2402965e+00       1.8237675e-02
    207       8.3403420e-01       1.2383339e+00       1.8254867e-02
    208       8.3470501e-01       1.2363934e+00       1.8269952e-02
    209       8.3544129e-01       1.2344749e+00       1.8282981e-02
    210       8.3625126e-01       1.2325786e+00       1.8293997e-02
    211       8.3711642e-01       1.2307044e+00       1.8303051e-02
    212       8.3803385e-01       1.2288522e+00       1.8310196e-02
    213       8.3900496e-01       1.2270219e+00       1.8315480e-02
    214       8.4001573e-01       1.2252135e+00       1.8318957e-02
    215       8.4106779e-01       1.2234268e+00       1.8320679e-02
    216       8.4215159e-01       1.2216616e+00       1.8320699e-02
    217       8.4326236e-01       1.2199178e+00       1.8319070e-02
    218       8.4440224e-01       1.2181953e+00       1.8315845e-02
    219       8.4556218e-01       1.2164937e+00       1.8311075e-02
    220       8.4673543e-01       1.2148130e+00       1.8304814e-02
    221       8.4791809e-01       1.2131529e+00       1.8297117e-02
    222       8.4910864e-01       1.2115130e+00       1.8288033e-02
    223       8.5031211e-01       1.2098933e+00       1.8277611e-02
    224       8.5150731e-01       1.2082934e+00       1.8265906e-02
    225       8.5270459e-01       1.2067130e+00       1.8252966e-02
    226       8.5389377e-01       1.2051518e+00       1.8238839e-02
    227       8.5507844e-01       1.2036096e+00       1.8223574e-02
    228       8.5624932e-01       1.2020861e+00       1.8207218e-02
    229       8.5740404e-01       1.2005810e+00       1.8189819e-02
    230       8.5854504e-01       1.1990939e+00       1.8171421e-02
    231       8.5967249e-01       1.1976245e+00       1.8152066e-02
    232       8.6077546e-01       1.1961726e+00       1.8131800e-02
    233       8.6185462e-01       1.1947377e+00       1.8110664e-02
    234       8.6291082e-01       1.1933197e+00       1.8088700e-02
    235       8.6394751e-01       1.1919181e+00       1.8065945e-02
    236       8.6495280e-01       1.1905326e+00       1.8042440e-02
    237       8.6593488e-01       1.1891630e+00       1.8018221e-02
    238       8.6689054e-01       1.1878089e+00       1.7993322e-02
    239       8.6782322e-01       1.1864701e+00       1.7967778e-02
    240       8.6872151e-01       1.1851461e+00       1.7941624e-02
    241       8.6960117e-01       1.1838368e+00       1.7914888e-02
    242       8.7044898e-01       1.1825418e+00       1.7887603e-02
    243       8.7127141e-01       1.1812609e+00       1.7859798e-02
    244       8.7206197e-01       1.1799937e+00       1.7831501e-02
    245       8.7282761e-01       1.1787399e+00       1.7802741e-02
    246       8.7356841e-01       1.1774994e+00       1.7773541e-02
    247       8.7428055e-01       1.1762718e+00       1.7743927e-02
    248       8.7496264e-01       1.1750568e+00       1.7713926e-02
    249       8.7562027e-01       1.1738543e+00       1.7683558e-02
    250       8.7625863e-01       1.1726639e+00       1.7652844e-02
    251       8.7687145e-01       1.1714854e+00       1.7621805e-02
    252       8.7745950e-01       1.1703187e+00       1.7590462e-02
    253       8.7803036e-01       1.1691634e+00       1.7558831e-02
    254       8.7858289e-01       1.1680194e+00       1.7526931e-02
    255       8.7911369e-01       1.1668864e+00       1.7494777e-02
    256       8.7963025e-01       1.1657643e+00       1.7462386e-02
    257       8.8012017e-01       1.1646528e+00       1.7429775e-02
    258       8.8060024e-01       1.1635519e+00       1.7396955e-02
    259       8.8106923e-01       1.1624612e+00       1.7363940e-02
    260       8.8151501e-01       1.1613806e+00       1.7330745e-02
    261       8.8194741e-01       1.1603100e+00       1.7297382e-02
    262       8.8236937e-01       1.1592492e+00       1.7263861e-02
    263       8.8277524e-01       1.1581979e+00       1.7230195e-02
    264       8.8317724e-01       1.1571562e+00       1.7196392e-02
    265       8.8356095e-01       1.1561238e+00       1.7162465e-02
    266       8.8394736e-01       1.1551005e+00       1.7128419e-02
    267       8.8432350e-01       1.1540864e+00       1.7094265e-02
    268       8.8468761e-01       1.1530812e+00       1.7060010e-02
    269       8.8504734e-01       1.1520848e+00       1.7025663e-02
    270       8.8540348e-01       1.1510971e+00       1.6991231e-02
    271       8.8575658e-01       1.1501179e+00       1.6956720e-02
    272       8.8610065e-01       1.1491473e+00       1.6922138e-02
    273       8.8644251e-01       1.1481850e+00       1.6887490e-02
    274       8.8678049e-01       1.1472310e+00       1.6852784e-02
    275       8.8711058e-01       1.1462851e+00       1.6818025e-02
    276       8.8744161e-01       1.1453472e+00       1.6783218e-02
    277       8.8776953e-01       1.1444174e+00       1.6748370e-02
    278       8.8809209e-01       1.1434953e+00       1.6713485e-02
    279       8.8841165e-01       1.1425810e+00       1.6678568e-02
    280       8.8872401e-01       1.1416744e+00       1.6643625e-02
    281       8.8903810e-01       1.1407753e+00       1.6608660e-02
    282       8.8934928e-01       1.1398838e+00       1.6573678e-02
    283       8.8965729e-01       1.1389996e+00       1.6538682e-02
    284       8.8996411e-01       1.1381227e+00       1.6503677e-02
    285       8.9026302e-01       1.1372530e+00       1.6468668e-02
    286       8.9055839e-01       1.1363904e+00       1.6433659e-02
    287       8.9084769e-01       1.1355349e+00       1.6398654e-02
    288       8.9113982e-01       1.1346863e+00       1.6363656e-02
    289       8.9143047e-01       1.1338446e+00       1.6328668e-02
    290       8.9171485e-01       1.1330096e+00       1.6293695e-02
    291       8.9199013e-01       1.1321814e+00       1.6258740e-02
    292       8.9226512e-01       1.1313598e+00       1.6223806e-02
    293       8.9253063e-01       1.1305447e+00       1.6188899e-02
    294       8.9279302e-01       1.1297360e+00       1.6154020e-02
    295       8.9304756e-01       1.1289336e+00       1.6119173e-02
    296       8.9330508e-01       1.1281376e+00       1.6084360e-02
    297       8.9354998e-01       1.1273477e+00       1.6049586e-02
    298       8.9378882e-01       1.1265640e+00       1.6014854e-02
    299       8.9402146e-01       1.1257863e+00       1.5980166e-02
    300       8.9424562e-01       1.1250144e+00       1.5945526e-02
    301       8.9446348e-01       1.1242485e+00       1.5910937e-02
    302       8.9467716e-01       1.1234883e+00       1.5876400e-02
    303       8.9488668e-01       1.1227339e+00       1.5841919e-02
    304       8.9508322e-01       1.1219850e+00       1.5807497e-02
    305       8.9528045e-01       1.1212417e+00       1.5773135e-02
    306       8.9546752e-01       1.1205039e+00       1.5738836e-02
