#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
     99      -5.9252583e+00      -6.2365570e+00       1.2870031e-02
    100      -5.9135977e+00      -6.2333274e+00       1.3140300e-02
    101      -5.9020561e+00      -6.2300475e+00       1.3413298e-02
    102      -5.8903341e+00      -6.2267170e+00       1.3689036e-02
    103      -5.8781331e+00      -6.2233327e+00       1.3968217e-02
    104      -5.8657588e+00      -6.2198944e+00       1.4250776e-02
    105      -5.8529125e+00      -6.2163994e+00       1.4537328e-02
    106      -5.8403544e+00      -6.2128518e+00       1.4826732e-02
    107      -5.8277868e+00      -6.2092530e+00       1.5118600e-02
    108      -5.8146097e+00      -6.2055989e+00       1.5413880e-02
    109      -5.8015837e+00      -6.2018924e+00       1.5711806e-02
    110      -5.7885641e+00      -6.1981348e+00       1.6011981e-02
    111      -5.7754058e+00      -6.1943265e+00       1.6314344e-02
    112      -5.7622661e+00      -6.1904688e+00       1.6618516e-02
    113      -5.7490000e+00      -6.1865620e+00       1.6924441e-02
    114      -5.7351604e+00      -6.1826023e+00       1.7232960e-02
    115      -5.7212081e+00      -6.1785902e+00       1.7543938e-02
    116      -5.7076034e+00      -6.1745300e+00       1.7856351e-02
    117      -5.6932962e+00      -6.1704169e+00       1.8171275e-02
    118      -5.6792004e+00      -6.1662540e+00       1.8487966e-02
    119      -5.6651734e+00      -6.1620432e+00       1.8806008e-02
    120      -5.6510709e+00      -6.1577851e+00       1.9125282e-02
    121      -5.6367499e+00      -6.1534791e+00       1.9445939e-02
    122      -5.6220677e+00      -6.1491232e+00       1.9768374e-02
    123      -5.6077883e+00      -6.1447221e+00       2.0091598e-02
    124      -5.5931645e+00      -6.1402741e+00       2.0416006e-02
    125      -5.5786573e+00      -6.1357812e+00       2.0741165e-02
    126      -5.5642756e+00      -6.1312454e+00       2.1066664e-02
    127      -5.5503309e+00      -6.1266713e+00       2.1391604e-02
    128      -5.5359251e+00      -6.1220561e+00       2.1716638e-02
