--------------------------------------------------
EXPECTED VALUES HAMILTONIAN
--------------------------------------------------
#BLOCK:     <H>_CUMUL:       <H>_ERR:
      1     -0.4442484      0.0000000
      2     -0.4437844      0.0004640
      3     -0.4439862      0.0003353
      4     -0.4438983      0.0002529
      5     -0.4439572      0.0002046
      6     -0.4439785      0.0001684
      7     -0.4439376      0.0001481
      8     -0.4439765      0.0001340
      9     -0.4440048      0.0001215
