#BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
    106       9.5015898e-01       9.5005327e-01       4.6493886e-06
    107       9.5016203e-01       9.5005428e-01       4.7157356e-06
    108       9.5016510e-01       9.5005531e-01       4.7824000e-06
    109       9.5016820e-01       9.5005635e-01       4.8493804e-06
    110       9.5017133e-01       9.5005739e-01       4.9166756e-06
    111       9.5017450e-01       9.5005845e-01       4.9842846e-06
    112       9.5017769e-01       9.5005951e-01       5.0522057e-06
    113       9.5018090e-01       9.5006058e-01       5.1204384e-06
    114       9.5018415e-01       9.5006167e-01       5.1889809e-06
    115       9.5018743e-01       9.5006276e-01       5.2578325e-06
    116       9.5019074e-01       9.5006387e-01       5.3269920e-06
    117       9.5019407e-01       9.5006498e-01       5.3964582e-06
    118       9.5019744e-01       9.5006610e-01       5.4662298e-06
    119       9.5020083e-01       9.5006723e-01       5.5363063e-06
    120       9.5020425e-01       9.5006837e-01       5.6066862e-06
    121       9.5020771e-01       9.5006953e-01       5.6773723e-06
    122       9.5021120e-01       9.5007069e-01       5.7483672e-06
    123       9.5021471e-01       9.5007186e-01       5.8196691e-06
    124       9.5021826e-01       9.5007304e-01       5.8912805e-06
    125       9.5022184e-01       9.5007423e-01       5.9632031e-06
    126       9.5022545e-01       9.5007543e-01       6.0354350e-06
    127       9.5022909e-01       9.5007664e-01       6.1079781e-06
    128       9.5023276e-01       9.5007786e-01       6.1808338e-06
    129       9.5023646e-01       9.5007909e-01       6.2540003e-06
    130       9.5024019e-01       9.5008033e-01       6.3274759e-06
    131       9.5024395e-01       9.5008158e-01       6.4012589e-06
    132       9.5024773e-01       9.5008284e-01       6.4753475e-06
    133       9.5025155e-01       9.5008410e-01       6.5497403e-06
    134       9.5025540e-01       9.5008538e-01       6.6244356e-06
    135       9.5025928e-01       9.5008667e-01       6.6994349e-06
    136       9.5026319e-01       9.5008797e-01       6.7747391e-06
    137       9.5026713e-01       9.5008928e-01       6.8503470e-06
    138       9.5027110e-01       9.5009059e-01       6.9262565e-06
    139       9.5027510e-01       9.5009192e-01       7.0024689e-06
    140       9.5027914e-01       9.5009326e-01       7.0789852e-06
    141       9.5028320e-01       9.5009461e-01       7.1558034e-06
    142       9.5028729e-01       9.5009596e-01       7.2329247e-06
    143       9.5029142e-01       9.5009733e-01       7.3103496e-06
    144       9.5029557e-01       9.5009871e-01       7.3880763e-06
    145       9.5029976e-01       9.5010009e-01       7.4661034e-06
    146       9.5030397e-01       9.5010149e-01       7.5444292e-06
    147       9.5030822e-01       9.5010290e-01       7.6230520e-06
    148       9.5031249e-01       9.5010431e-01       7.7019704e-06
    149       9.5031680e-01       9.5010574e-01       7.7811831e-06
    150       9.5032113e-01       9.5010717e-01       7.8606885e-06
    151       9.5032549e-01       9.5010862e-01       7.9404853e-06
    152       9.5032989e-01       9.5011008e-01       8.0205723e-06
    153       9.5033431e-01       9.5011154e-01       8.1009481e-06
    154       9.5033877e-01       9.5011302e-01       8.1816137e-06
    155       9.5034325e-01       9.5011450e-01       8.2625695e-06
    156       9.5034777e-01       9.5011600e-01       8.3438146e-06
    157       9.5035232e-01       9.5011750e-01       8.4253494e-06
    158       9.5035690e-01       9.5011902e-01       8.5071763e-06
    159       9.5036152e-01       9.5012054e-01       8.5892958e-06
    160       9.5036616e-01       9.5012208e-01       8.6717083e-06
    161       9.5037084e-01       9.5012362e-01       8.7544140e-06
    162       9.5037554e-01       9.5012518e-01       8.8374113e-06
    163       9.5038028e-01       9.5012674e-01       8.9206991e-06
    164       9.5038505e-01       9.5012832e-01       9.0042758e-06
    165       9.5038985e-01       9.5012990e-01       9.0881418e-06
    166       9.5039468e-01       9.5013150e-01       9.1722973e-06
    167       9.5039954e-01       9.5013310e-01       9.2567425e-06
    168       9.5040444e-01       9.5013472e-01       9.3414794e-06
