#BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
      1      -1.0010376e+00      -1.0010376e+00       0.0000000e+00
      2      -1.0034847e+00      -1.0022612e+00       8.6518757e-04
      3      -1.0032260e+00      -1.0025828e+00       6.3375052e-04
      4      -1.0043673e+00      -1.0030289e+00       6.1252835e-04
      5      -1.0016729e+00      -1.0027577e+00       5.4677286e-04
      6      -1.0035411e+00      -1.0028883e+00       4.7097496e-04
      7      -1.0037131e+00      -1.0030061e+00       4.1817450e-04
      8      -1.0051812e+00      -1.0032780e+00       4.4561078e-04
      9      -1.0034122e+00      -1.0032929e+00       3.9634810e-04
     10      -1.0069202e+00      -1.0036556e+00       4.9564086e-04
     11      -1.0040731e+00      -1.0036936e+00       4.5203355e-04
     12      -1.0053535e+00      -1.0038319e+00       4.3501329e-04
     13      -1.0045226e+00      -1.0038850e+00       4.0478197e-04
     14      -1.0039578e+00      -1.0038902e+00       3.7590236e-04
     15      -1.0063916e+00      -1.0040570e+00       3.8606398e-04
     16      -1.0030760e+00      -1.0039957e+00       3.6677101e-04
     17      -1.0039545e+00      -1.0039933e+00       3.4520426e-04
     18      -1.0054912e+00      -1.0040765e+00       3.3590729e-04
     19      -1.0005025e+00      -1.0038884e+00       3.6713771e-04
     20      -1.0027513e+00      -1.0038315e+00       3.5315517e-04
