            MU:         SIGMA:                <H>:              ERROR:
      0.3400000      0.5680000           0.1256851           0.0018612
      0.3400000      0.5840000           0.0966137           0.0025690
      0.3400000      0.6000000           0.0690157           0.0025425
      0.3400000      0.6160000           0.0375189           0.0036727
      0.3400000      0.6320000           0.0139985           0.0023657
      0.3400000      0.6480000          -0.0131931           0.0019410
      0.3400000      0.6640000          -0.0374460           0.0017335
      0.3400000      0.6800000          -0.0588334           0.0018515
      0.3400000      0.6960000          -0.0803292           0.0022504
      0.3400000      0.7120000          -0.1054798           0.0015131
      0.3400000      0.7280000          -0.1214801           0.0012141
      0.3400000      0.7440000          -0.1395404           0.0017314
      0.3400000      0.7600000          -0.1578716           0.0017746
      0.3400000      0.7760000          -0.1762590           0.0011357
      0.3400000      0.7920000          -0.1894483           0.0015330
      0.3400000      0.8080000          -0.2049135           0.0017451
      0.3400000      0.8240000          -0.2148486           0.0015803
      0.3400000      0.8400000          -0.2238437           0.0020259
      0.3400000      0.8560000          -0.2363088           0.0015215
      0.3400000      0.8720000          -0.2420528           0.0014560
      0.3400000      0.8880000          -0.2456365           0.0019799
      0.3400000      0.9040000          -0.2495381           0.0017144
      0.3400000      0.9200000          -0.2505131           0.0015073
      0.3400000      0.9360000          -0.2531539           0.0025015
      0.3400000      0.9520000          -0.2540518           0.0037745
      0.3400000      0.9680000          -0.2493817           0.0021654
      0.3400000      0.9840000          -0.2444726           0.0025833
      0.3400000      1.0000000          -0.2388027           0.0029307
      0.3600000      0.2000000           4.3930897           0.0327757
      0.3600000      0.2160000           3.3172735           0.0312072
      0.3600000      0.2320000           2.4634199           0.0218205
      0.3600000      0.2480000           1.8846235           0.0213625
      0.3600000      0.2640000           1.4495560           0.0072130
      0.3600000      0.2800000           1.1712574           0.0084466
      0.3600000      0.2960000           0.9603468           0.0068063
      0.3600000      0.3120000           0.8085747           0.0043836
      0.3600000      0.3280000           0.7017010           0.0049144
      0.3600000      0.3440000           0.6213053           0.0050616
      0.3600000      0.3600000           0.5547980           0.0025476
      0.3600000      0.3760000           0.5076650           0.0033164
      0.3600000      0.3920000           0.4537209           0.0025499
      0.3600000      0.4080000           0.4116614           0.0030465
      0.3600000      0.4240000           0.3789534           0.0034281
      0.3600000      0.4400000           0.3366351           0.0026717
      0.3600000      0.4560000           0.3082468           0.0026834
      0.3600000      0.4720000           0.2736718           0.0022482
      0.3600000      0.4880000           0.2421782           0.0029067
      0.3600000      0.5040000           0.2105497           0.0030733
      0.3600000      0.5200000           0.1810916           0.0015280
      0.3600000      0.5360000           0.1497103           0.0024568
      0.3600000      0.5520000           0.1196194           0.0026620
      0.3600000      0.5680000           0.0907231           0.0025989
      0.3600000      0.5840000           0.0597009           0.0016792
      0.3600000      0.6000000           0.0415123           0.0020459
      0.3600000      0.6160000           0.0119293           0.0032703
      0.3600000      0.6320000          -0.0129817           0.0020533
      0.3600000      0.6480000          -0.0317533           0.0019365
      0.3600000      0.6640000          -0.0577837           0.0025779
      0.3600000      0.6800000          -0.0817724           0.0018128
      0.3600000      0.6960000          -0.0982960           0.0015956
      0.3600000      0.7120000          -0.1183790           0.0014087
      0.3600000      0.7280000          -0.1357266           0.0018972
      0.3600000      0.7440000          -0.1585167           0.0018839
      0.3600000      0.7600000          -0.1725383           0.0021448
      0.3600000      0.7760000          -0.1860572           0.0012743
      0.3600000      0.7920000          -0.2019978           0.0018405
      0.3600000      0.8080000          -0.2099030           0.0017319
      0.3600000      0.8240000          -0.2234574           0.0016791
      0.3600000      0.8400000          -0.2327932           0.0012297
      0.3600000      0.8560000          -0.2406124           0.0010195
      0.3600000      0.8720000          -0.2481365           0.0022028
      0.3600000      0.8880000          -0.2521415           0.0012164
      0.3600000      0.9040000          -0.2555555           0.0013691
      0.3600000      0.9200000          -0.2557346           0.0031511
      0.3600000      0.9360000          -0.2555776           0.0013089
      0.3600000      0.9520000          -0.2555054           0.0033180
      0.3600000      0.9680000          -0.2533729           0.0024482
      0.3600000      0.9840000          -0.2422143           0.0028403
      0.3600000      1.0000000          -0.2324306           0.0023805
      0.3800000      0.2000000           4.7083364           0.0324906
      0.3800000      0.2160000           3.5516235           0.0255918
      0.3800000      0.2320000           2.6898673           0.0159304
      0.3800000      0.2480000           2.0658659           0.0114538
      0.3800000      0.2640000           1.5639459           0.0089040
      0.3800000      0.2800000           1.2272376           0.0121592
      0.3800000      0.2960000           0.9844137           0.0047477
      0.3800000      0.3120000           0.8076700           0.0081359
      0.3800000      0.3280000           0.6793114           0.0062697
      0.3800000      0.3440000           0.5792071           0.0044449
      0.3800000      0.3600000           0.5013586           0.0040520
      0.3800000      0.3760000           0.4434146           0.0023800
      0.3800000      0.3920000           0.3986674           0.0042976
      0.3800000      0.4080000           0.3540260           0.0030172
      0.3800000      0.4240000           0.3132845           0.0029532
      0.3800000      0.4400000           0.2819959           0.0031041
      0.3800000      0.4560000           0.2533695           0.0021680
      0.3800000      0.4720000           0.2187480           0.0020809
      0.3800000      0.4880000           0.1914031           0.0025798
      0.3800000      0.5040000           0.1668858           0.0022375
      0.3800000      0.5200000           0.1351809           0.0022721
      0.3800000      0.5360000           0.1103834           0.0020045
      0.3800000      0.5520000           0.0818845           0.0020055
      0.3800000      0.5680000           0.0568266           0.0024628
      0.3800000      0.5840000           0.0316115           0.0014879
      0.3800000      0.6000000           0.0027878           0.0012341
      0.3800000      0.6160000          -0.0197512           0.0025387
      0.3800000      0.6320000          -0.0404040           0.0012037
      0.3800000      0.6480000          -0.0591284           0.0016691
      0.3800000      0.6640000          -0.0817115           0.0020094
      0.3800000      0.6800000          -0.1020269           0.0016500
      0.3800000      0.6960000          -0.1179380           0.0019976
      0.3800000      0.7120000          -0.1399849           0.0020780
      0.3800000      0.7280000          -0.1559712           0.0023179
      0.3800000      0.7440000          -0.1694407           0.0009216
      0.3800000      0.7600000          -0.1836364           0.0015664
      0.3800000      0.7760000          -0.1956983           0.0013757
      0.3800000      0.7920000          -0.2067119           0.0018538
      0.3800000      0.8080000          -0.2216912           0.0013620
      0.3800000      0.8240000          -0.2308464           0.0008243
      0.3800000      0.8400000          -0.2371286           0.0021937
      0.3800000      0.8560000          -0.2445903           0.0013414
      0.3800000      0.8720000          -0.2505108           0.0020112
      0.3800000      0.8880000          -0.2506932           0.0024067
      0.3800000      0.9040000          -0.2571326           0.0025995
      0.3800000      0.9200000          -0.2576769           0.0032146
      0.3800000      0.9360000          -0.2596745           0.0023106
      0.3800000      0.9520000          -0.2491959           0.0012834
      0.3800000      0.9680000          -0.2508603           0.0023583
      0.3800000      0.9840000          -0.2425700           0.0015665
      0.3800000      1.0000000          -0.2386074           0.0034493
      0.4000000      0.2000000           4.9621863           0.0343604
      0.4000000      0.2160000           3.8143204           0.0215821
      0.4000000      0.2320000           2.9002344           0.0164114
      0.4000000      0.2480000           2.2275494           0.0182016
      0.4000000      0.2640000           1.6850580           0.0133994
      0.4000000      0.2800000           1.2987206           0.0125331
      0.4000000      0.2960000           1.0201679           0.0096275
      0.4000000      0.3120000           0.8160923           0.0078813
      0.4000000      0.3280000           0.6642545           0.0044161
      0.4000000      0.3440000           0.5494951           0.0064709
      0.4000000      0.3600000           0.4719145           0.0028455
      0.4000000      0.3760000           0.3964110           0.0036731
      0.4000000      0.3920000           0.3451027           0.0030795
      0.4000000      0.4080000           0.3018836           0.0033456
      0.4000000      0.4240000           0.2617506           0.0030989
      0.4000000      0.4400000           0.2309621           0.0030325
      0.4000000      0.4560000           0.2090541           0.0024210
      0.4000000      0.4720000           0.1714153           0.0021304
      0.4000000      0.4880000           0.1456902           0.0019075
      0.4000000      0.5040000           0.1200306           0.0018833
      0.4000000      0.5200000           0.0902723           0.0010603
      0.4000000      0.5360000           0.0689214           0.0010588
      0.4000000      0.5520000           0.0467284           0.0019950
      0.4000000      0.5680000           0.0221016           0.0019920
      0.4000000      0.5840000           0.0024351           0.0027539
      0.4000000      0.6000000          -0.0196895           0.0026150
      0.4000000      0.6160000          -0.0449873           0.0018932
      0.4000000      0.6320000          -0.0658505           0.0026730
      0.4000000      0.6480000          -0.0856522           0.0010945
      0.4000000      0.6640000          -0.1032929           0.0020338
      0.4000000      0.6800000          -0.1222431           0.0021042
      0.4000000      0.6960000          -0.1386928           0.0018655
      0.4000000      0.7120000          -0.1559451           0.0012705
      0.4000000      0.7280000          -0.1669612           0.0013786
      0.4000000      0.7440000          -0.1861203           0.0018061
      0.4000000      0.7600000          -0.1984246           0.0018856
      0.4000000      0.7760000          -0.2141705           0.0020120
      0.4000000      0.7920000          -0.2199578           0.0017147
      0.4000000      0.8080000          -0.2295260           0.0024379
      0.4000000      0.8240000          -0.2376959           0.0015828
      0.4000000      0.8400000          -0.2459722           0.0022275
      0.4000000      0.8560000          -0.2513005           0.0016603
      0.4000000      0.8720000          -0.2582034           0.0015910
      0.4000000      0.8880000          -0.2582575           0.0018009
      0.4000000      0.9040000          -0.2612264           0.0016523
      0.4000000      0.9200000          -0.2609602           0.0024848
      0.4000000      0.9360000          -0.2549552           0.0027388
      0.4000000      0.9520000          -0.2527420           0.0040499
      0.4000000      0.9680000          -0.2496334           0.0022151
      0.4000000      0.9840000          -0.2366457           0.0025294
      0.4000000      1.0000000          -0.2274952           0.0031454
      0.4200000      0.2000000           5.1600838           0.0429536
      0.4200000      0.2160000           3.9688184           0.0229130
      0.4200000      0.2320000           3.0792889           0.0245582
      0.4200000      0.2480000           2.4044062           0.0147808
      0.4200000      0.2640000           1.8344967           0.0180819
      0.4200000      0.2800000           1.4011846           0.0123759
      0.4200000      0.2960000           1.0775222           0.0086608
      0.4200000      0.3120000           0.8585538           0.0072860
      0.4200000      0.3280000           0.6667372           0.0074085
      0.4200000      0.3440000           0.5300597           0.0046486
      0.4200000      0.3600000           0.4468131           0.0035518
      0.4200000      0.3760000           0.3627912           0.0032393
      0.4200000      0.3920000           0.3027031           0.0029449
      0.4200000      0.4080000           0.2576184           0.0028200
      0.4200000      0.4240000           0.2175619           0.0031913
      0.4200000      0.4400000           0.1819758           0.0014932
      0.4200000      0.4560000           0.1520218           0.0024845
      0.4200000      0.4720000           0.1261290           0.0023588
      0.4200000      0.4880000           0.0992384           0.0026337
      0.4200000      0.5040000           0.0788644           0.0018700
      0.4200000      0.5200000           0.0511202           0.0022695
      0.4200000      0.5360000           0.0308839           0.0024852
      0.4200000      0.5520000           0.0053752           0.0032974
      0.4200000      0.5680000          -0.0150581           0.0014355
      0.4200000      0.5840000          -0.0375826           0.0017048
      0.4200000      0.6000000          -0.0549758           0.0024018
      0.4200000      0.6160000          -0.0721519           0.0023591
      0.4200000      0.6320000          -0.0905377           0.0011773
      0.4200000      0.6480000          -0.1108172           0.0025391
      0.4200000      0.6640000          -0.1274584           0.0011385
      0.4200000      0.6800000          -0.1408347           0.0023027
      0.4200000      0.6960000          -0.1578065           0.0025463
      0.4200000      0.7120000          -0.1734074           0.0014377
      0.4200000      0.7280000          -0.1848145           0.0013153
      0.4200000      0.7440000          -0.2008390           0.0013433
      0.4200000      0.7600000          -0.2095199           0.0017439
      0.4200000      0.7760000          -0.2219435           0.0010585
      0.4200000      0.7920000          -0.2307900           0.0008514
      0.4200000      0.8080000          -0.2405789           0.0015804
      0.4200000      0.8240000          -0.2461742           0.0012905
      0.4200000      0.8400000          -0.2508784           0.0018303
      0.4200000      0.8560000          -0.2554785           0.0006732
      0.4200000      0.8720000          -0.2604880           0.0022164
      0.4200000      0.8880000          -0.2586187           0.0018221
      0.4200000      0.9040000          -0.2606888           0.0023414
      0.4200000      0.9200000          -0.2574462           0.0031536
      0.4200000      0.9360000          -0.2567077           0.0022619
      0.4200000      0.9520000          -0.2483924           0.0027976
      0.4200000      0.9680000          -0.2469407           0.0032460
      0.4200000      0.9840000          -0.2353993           0.0023313
      0.4200000      1.0000000          -0.2277185           0.0028606
      0.4400000      0.2000000           5.3151160           0.0317021
      0.4400000      0.2160000           4.1873027           0.0355184
      0.4400000      0.2320000           3.2699026           0.0212104
      0.4400000      0.2480000           2.5465511           0.0170766
      0.4400000      0.2640000           1.9603287           0.0102785
      0.4400000      0.2800000           1.5197562           0.0081493
      0.4400000      0.2960000           1.1295787           0.0095599
      0.4400000      0.3120000           0.8871922           0.0074604
      0.4400000      0.3280000           0.6778959           0.0054334
      0.4400000      0.3440000           0.5281933           0.0051843
      0.4400000      0.3600000           0.4183542           0.0056340
      0.4400000      0.3760000           0.3317914           0.0026730
      0.4400000      0.3920000           0.2692977           0.0034275
      0.4400000      0.4080000           0.2165538           0.0031377
      0.4400000      0.4240000           0.1747648           0.0040420
      0.4400000      0.4400000           0.1396092           0.0024938
      0.4400000      0.4560000           0.1089661           0.0024566
      0.4400000      0.4720000           0.0804412           0.0021905
      0.4400000      0.4880000           0.0579567           0.0019843
      0.4400000      0.5040000           0.0352783           0.0015651
      0.4400000      0.5200000           0.0127643           0.0015216
      0.4400000      0.5360000          -0.0107652           0.0019067
      0.4400000      0.5520000          -0.0264880           0.0018805
      0.4400000      0.5680000          -0.0460735           0.0016521
      0.4400000      0.5840000          -0.0645961           0.0015972
