#NUM_PART   XCOORD   YCOORD   ZCOORD     DIST
     153     0.59     2.82    -0.98     3.04
     154     0.08     2.84    -1.47     3.20
     155     0.08     2.84    -1.47     3.20
     156     0.08     2.84    -1.47     3.20
     157     0.08     2.84    -1.47     3.20
     158     0.08     2.84    -1.47     3.20
     159     0.08     2.84    -1.47     3.20
     160     1.11     1.68    -0.89     2.20
     161     2.04     0.82    -0.49     2.25
     162     1.49     0.91    -0.00     1.75
     163     0.78     0.29    -1.00     1.30
     164     0.78     0.29    -1.00     1.30
     165     0.39    -0.57    -0.23     0.73
     166     0.39    -0.57    -0.23     0.73
     167    -0.47     0.22    -0.50     0.73
     168    -0.47     0.22    -0.50     0.73
     169    -0.47     0.22    -0.50     0.73
     170    -0.47     0.22    -0.50     0.73
     171    -0.47     0.22    -0.50     0.73
     172    -0.47     0.22    -0.50     0.73
     173    -0.51    -0.94    -1.19     1.60
     174     0.35     0.13    -1.48     1.53
     175     0.83    -0.12    -1.10     1.39
     176     1.10     0.84     0.04     1.38
     177     1.10     0.84     0.04     1.38
     178     1.10     0.84     0.04     1.38
     179     0.57     0.56    -0.34     0.87
     180     0.57     0.56    -0.34     0.87
     181    -0.57    -0.37     0.27     0.73
     182    -0.57    -0.37     0.27     0.73
     183     0.27     0.43     0.53     0.73
     184    -0.16     0.18     1.06     1.09
     185    -0.49    -1.01     0.78     1.37
     186    -1.24    -0.39     0.15     1.31
     187    -1.24    -0.39     0.15     1.31
     188    -1.24    -0.39     0.15     1.31
     189    -1.24    -0.39     0.15     1.31
     190    -1.24    -0.39     0.15     1.31
     191    -0.93     0.43     1.30     1.66
     192    -0.93     0.43     1.30     1.66
     193    -0.93     0.43     1.30     1.66
     194    -0.93     0.43     1.30     1.66
     195    -1.16    -0.50     0.21     1.29
     196    -1.16    -0.50     0.21     1.29
     197    -1.16    -0.50     0.21     1.29
     198    -1.16    -0.50     0.21     1.29
     199    -1.34    -0.51     0.06     1.43
     200    -1.14     0.59     0.61     1.43
     201    -1.07     0.61    -0.45     1.31
     202    -0.38    -0.37     0.46     0.70
     203    -0.38    -0.37     0.46     0.70
     204     0.16     0.53     0.41     0.69
     205    -0.38     0.45     0.78     0.97
     206    -0.38     0.45     0.78     0.97
     207     0.66    -0.57     0.96     1.29
     208     0.66    -0.57     0.96     1.29
     209     0.89    -0.60    -0.10     1.07
     210     0.09     0.42     0.79     0.90
     211     0.09     0.42     0.79     0.90
     212     0.54     0.43     0.03     0.69
     213     1.14     0.00    -0.38     1.20
     214     1.14     0.00    -0.38     1.20
     215     0.46     0.32     0.06     0.56
     216    -0.19    -0.36    -0.30     0.50
     217    -0.73    -0.63    -1.17     1.52
     218    -0.44    -0.48    -0.15     0.67
     219    -0.53     0.56     0.56     0.95
     220    -0.53     0.56     0.56     0.95
     221    -0.51     0.74    -0.47     1.01
     222    -0.18     0.27    -0.41     0.52
     223    -0.18     0.27    -0.41     0.52
     224    -0.01    -0.50    -0.09     0.51
     225    -0.01    -0.50    -0.09     0.51
     226    -0.01    -0.50    -0.09     0.51
     227    -0.01    -0.50    -0.09     0.51
     228    -0.01    -0.50    -0.09     0.51
     229    -0.01    -0.50    -0.09     0.51
     230     0.08     0.09     0.18     0.21
     231     0.08     0.09     0.18     0.21
     232     0.08     0.09     0.18     0.21
     233     0.08     0.09     0.18     0.21
     234     0.08     0.09     0.18     0.21
     235     0.08     0.09     0.18     0.21
     236    -0.82     0.06     0.41     0.92
     237    -0.82     0.06     0.41     0.92
     238    -0.99    -0.29    -0.08     1.03
     239     0.19    -1.08     0.51     1.21
     240     0.19    -1.08     0.51     1.21
     241     0.19    -1.08     0.51     1.21
     242     0.00    -0.82     0.82     1.15
     243    -0.15     0.21     0.13     0.29
     244    -0.15     0.21     0.13     0.29
     245     0.03     0.22     0.83     0.86
     246     0.03     0.22     0.83     0.86
     247     0.03     0.22     0.83     0.86
     248    -1.03     0.60     1.46     1.88
     249    -0.08    -0.40     1.04     1.12
     250    -0.08    -0.40     1.04     1.12
     251     0.19    -0.94     0.20     0.98
     252     1.33    -0.16     0.00     1.34
     253     1.33    -0.16     0.00     1.34
     254     0.81     0.91     0.95     1.55
     255     1.60     1.00    -0.08     1.89
     256     1.60     1.00    -0.08     1.89
     257     1.60     1.00    -0.08     1.89
     258     0.80     1.25     0.57     1.59
     259     0.68     0.13    -0.10     0.70
     260    -0.20    -0.61     0.41     0.76
     261     0.05    -0.84     0.36     0.91
     262     0.90    -0.17     0.61     1.09
     263     1.37    -0.61     0.40     1.55
     264     1.37    -0.61     0.40     1.55
     265     0.31     0.41     0.68     0.85
     266     0.31     0.41     0.68     0.85
     267     0.31     0.41     0.68     0.85
     268     0.31     0.41     0.68     0.85
     269    -0.09     1.28     0.75     1.49
     270    -0.25     2.00     1.05     2.27
     271    -1.02     0.81     0.75     1.50
     272    -0.77    -0.12     0.04     0.78
     273    -0.77    -0.12     0.04     0.78
     274    -0.77    -0.12     0.04     0.78
     275     0.05    -0.10    -0.30     0.31
     276     0.05    -0.10    -0.30     0.31
     277     0.05    -0.10    -0.30     0.31
     278     0.05    -0.10    -0.30     0.31
     279     0.05    -0.10    -0.30     0.31
     280     0.55    -0.31     0.07     0.64
     281     0.55    -0.31     0.07     0.64
     282     0.22    -0.70     1.02     1.26
     283     0.22    -0.70     1.02     1.26
     284    -0.43    -0.94    -0.11     1.04
     285    -0.43    -0.94    -0.11     1.04
     286    -1.51    -0.21     0.41     1.57
     287    -1.30    -1.39    -0.72     2.04
     288    -1.30    -1.39    -0.72     2.04
     289    -0.52    -2.31    -0.31     2.39
     290    -0.52    -2.31    -0.31     2.39
     291    -0.45    -1.52     0.74     1.75
     292    -0.45    -1.52     0.74     1.75
     293    -0.37    -0.49     1.11     1.27
     294     0.14    -0.78     0.67     1.04
     295     1.28     0.08    -0.29     1.31
     296     1.28     0.08    -0.29     1.31
     297     1.00    -0.03    -0.28     1.04
     298     0.23    -0.70     0.54     0.92
     299     0.23    -0.70     0.54     0.92
     300    -0.70    -0.94     0.04     1.17
     301    -0.70    -0.94     0.04     1.17
     302    -0.39    -0.50    -0.89     1.10
     303    -1.04     0.18     0.21     1.07
     304     0.04     0.76    -0.21     0.79
     305     0.04     0.76    -0.21     0.79
     306     0.04     0.76    -0.21     0.79
     307     0.03    -0.28    -0.85     0.90
     308     0.63     0.04    -0.46     0.78
     309    -0.04    -1.06     0.29     1.10
     310     0.40    -2.20     0.51     2.29
     311     0.39    -1.18     0.34     1.29
     312     0.39    -1.18     0.34     1.29
     313     0.39    -1.18     0.34     1.29
     314     0.93    -0.03     0.94     1.32
     315     0.60     0.75     1.01     1.39
     316    -0.08     1.39     0.62     1.53
     317    -0.08     1.39     0.62     1.53
     318     0.90     0.36     1.09     1.46
     319     0.16     1.03     1.03     1.47
     320    -0.39     1.25     0.25     1.33
     321    -0.39     1.25     0.25     1.33
     322    -0.39     1.25     0.25     1.33
     323    -0.62     1.09     0.84     1.51
     324    -0.62     1.09     0.84     1.51
     325    -1.63     0.69     0.93     2.00
     326    -0.89     0.92    -0.24     1.31
     327    -0.89     0.92    -0.24     1.31
     328    -1.34     0.40    -0.14     1.41
     329    -1.46     1.23     0.01     1.91
     330    -1.06     0.11     0.43     1.15
     331    -1.06     0.11     0.43     1.15
     332     0.14     0.20     0.44     0.51
     333     0.11     1.17    -0.32     1.22
     334     0.11     1.17    -0.32     1.22
     335     0.11     1.17    -0.32     1.22
     336     1.22     1.49    -1.42     2.39
     337     1.22     1.49    -1.42     2.39
     338     1.27     2.36    -2.07     3.39
     339     1.79     1.89    -1.08     2.81
     340     2.26     1.79    -0.79     2.98
     341     2.26     1.79    -0.79     2.98
     342     2.26     1.79    -0.79     2.98
     343     2.26     1.79    -0.79     2.98
     344     2.05     0.89    -0.25     2.25
     345     0.91    -0.25     0.39     1.03
     346     0.59    -0.52    -0.60     0.99
     347     0.16    -0.13    -1.09     1.11
     348    -0.22     0.65    -0.14     0.70
     349     0.17    -0.16     0.94     0.97
     350     0.17    -0.16     0.94     0.97
     351     0.70    -0.96    -0.09     1.19
     352     0.70    -0.96    -0.09     1.19
     353    -0.49    -1.44    -0.46     1.58
     354    -0.49    -1.44    -0.46     1.58
     355    -0.95    -0.84    -0.79     1.50
     356    -0.20    -1.81    -0.33     1.86
     357    -0.20    -1.81    -0.33     1.86
     358    -0.20    -1.81    -0.33     1.86
     359     0.23    -1.22     0.15     1.25
     360     1.41    -0.65    -0.53     1.64
     361     2.21    -0.43    -0.79     2.39
     362     3.06    -1.26    -1.46     3.62
     363     3.32    -0.92    -1.60     3.79
     364     3.32    -0.92    -1.60     3.79
     365     3.32    -0.92    -1.60     3.79
     366     3.32    -0.92    -1.60     3.79
     367     2.25    -1.86    -1.80     3.43
     368     2.25    -1.86    -1.80     3.43
     369     3.13    -0.67    -1.73     3.64
     370     3.13    -0.67    -1.73     3.64
     371     3.38    -0.52    -1.52     3.74
     372     3.46    -0.72    -2.70     4.45
     373     2.98    -0.57    -2.32     3.82
     374     3.57     0.52    -1.67     3.97
     375     3.57     0.52    -1.67     3.97
     376     2.41     1.06    -2.07     3.35
     377     1.50     1.45    -1.22     2.42
     378     1.26     1.53    -0.05     1.98
     379     1.58     0.60    -0.62     1.80
     380     1.40     0.93    -0.48     1.75
     381     1.40     0.93    -0.48     1.75
     382     0.62    -0.09     0.59     0.86
     383    -0.04     0.38    -0.43     0.57
     384    -0.70     1.19    -0.47     1.46
     385    -1.80     2.08    -1.59     3.18
     386    -1.99     1.16    -1.86     2.96
     387    -2.76     1.85    -2.47     4.14
     388    -2.77     1.60    -2.02     3.78
     389    -1.84     0.83    -2.98     3.60
     390    -0.76     0.76    -2.30     2.53
     391    -0.76     0.76    -2.30     2.53
     392    -1.07    -0.39    -2.10     2.39
     393    -0.55    -0.29    -2.31     2.39
     394    -0.55    -0.29    -2.31     2.39
     395    -0.19     0.27    -1.66     1.69
     396    -0.19     0.27    -1.66     1.69
     397     0.22     1.31    -0.55     1.44
     398     0.22     1.31    -0.55     1.44
     399     0.22     1.31    -0.55     1.44
     400     0.22     1.31    -0.55     1.44
     401     0.08     0.79    -1.53     1.72
     402     1.17     1.76    -0.61     2.20
     403     1.17     1.76    -0.61     2.20
     404     1.47     2.27     0.48     2.75
     405     1.47     2.27     0.48     2.75
     406     0.65     2.21     0.19     2.31
     407     0.65     2.21     0.19     2.31
     408    -0.15     2.94     1.10     3.14
     409    -0.15     2.94     1.10     3.14
     410    -0.15     2.94     1.10     3.14
     411    -0.15     2.94     1.10     3.14
     412    -0.08     2.62     1.87     3.22
     413     0.25     3.46     1.42     3.75
     414    -0.01     3.42     1.60     3.77
     415     0.11     2.43     1.96     3.12
     416     0.11     2.43     1.96     3.12
     417     0.11     2.43     1.96     3.12
     418     0.56     3.16     1.23     3.44
     419     0.56     3.16     1.23     3.44
     420     0.73     2.20     1.04     2.54
     421     0.73     2.20     1.04     2.54
     422     0.73     2.20     1.04     2.54
     423     0.23     1.78    -0.07     1.80
     424     0.23     1.78    -0.07     1.80
     425     0.73     2.51    -0.86     2.75
     426     0.73     2.51    -0.86     2.75
     427     1.73     1.80    -0.15     2.51
     428     1.73     1.80    -0.15     2.51
     429     0.80     2.07     0.80     2.35
     430     0.80     2.07     0.80     2.35
     431     0.37     1.52    -0.15     1.57
     432     0.15     1.52    -0.59     1.64
     433     1.09     0.56     0.01     1.22
     434     1.09     0.56     0.01     1.22
     435     1.09     0.56     0.01     1.22
     436     1.09     0.56     0.01     1.22
     437     1.09     0.56     0.01     1.22
     438     1.09     0.92     0.55     1.53
     439     0.77    -0.21    -0.30     0.85
     440     0.47     0.80     0.83     1.24
     441     0.11     0.29     1.06     1.10
     442    -0.14     0.39     0.89     0.98
     443     0.11     0.16     1.31     1.32
     444     0.77    -0.52     0.42     1.02
     445     0.77    -0.52     0.42     1.02
     446     1.78    -0.46     0.90     2.05
     447     0.94    -1.28     0.07     1.59
     448     0.14    -0.50    -0.97     1.10
     449    -0.21    -0.15    -1.38     1.40
     450    -0.90    -0.91    -1.46     1.94
     451    -0.90    -0.91    -1.46     1.94
     452    -0.98    -0.99    -0.43     1.46
     453    -0.98    -0.99    -0.43     1.46
     454    -0.98    -0.99    -0.43     1.46
     455    -0.98    -0.99    -0.43     1.46
     456    -0.98    -0.99    -0.43     1.46
     457    -0.60    -0.47    -0.10     0.77
     458    -0.60    -0.47    -0.10     0.77
     459    -0.60    -0.47    -0.10     0.77
     460    -0.60    -0.47    -0.10     0.77
     461    -0.60    -0.47    -0.10     0.77
     462     0.58    -0.37    -0.04     0.69
     463     0.58    -0.37    -0.04     0.69
     464     0.58    -0.37    -0.04     0.69
     465     0.58    -0.37    -0.04     0.69
     466    -0.40    -1.03    -0.82     1.38
     467    -0.40    -1.03    -0.82     1.38
     468    -0.24    -0.17    -1.66     1.69
     469    -0.24    -0.17    -1.66     1.69
     470    -0.24    -0.17    -1.66     1.69
     471    -0.10    -0.68    -1.52     1.67
     472     0.90    -0.43    -0.47     1.10
     473     1.21    -0.01    -0.42     1.28
     474     0.78     0.72     0.16     1.07
     475    -0.01     0.26     0.70     0.74
     476    -0.92    -0.09    -0.06     0.93
     477    -0.75     0.55    -0.26     0.97
     478    -0.83     0.10     0.61     1.03
     479     0.16     0.78     0.54     0.96
     480     0.16     0.78     0.54     0.96
     481    -0.53     0.82     0.16     0.99
     482    -0.53     0.82     0.16     0.99
     483     0.10     0.97    -0.92     1.34
     484     0.10     0.97    -0.92     1.34
     485    -0.04     0.01    -1.21     1.22
     486    -0.04     0.01    -1.21     1.22
     487    -0.04     0.01    -1.21     1.22
     488    -0.04     0.01    -1.21     1.22
     489    -0.16     0.63    -1.14     1.32
     490    -0.16     0.63    -1.14     1.32
     491    -0.16     0.63    -1.14     1.32
     492    -0.16     0.63    -1.14     1.32
     493    -0.13     1.20    -0.43     1.28
     494    -0.13     1.20    -0.43     1.28
     495    -1.05     1.56     0.45     1.93
     496    -1.05     1.56     0.45     1.93
     497    -1.92     0.58     0.55     2.08
     498    -1.92     0.58     0.55     2.08
     499    -1.36     0.12     0.63     1.50
     500    -2.26     0.43     1.19     2.59
     501    -2.27    -0.13     0.72     2.39
     502    -2.02     0.83     1.62     2.71
     503    -2.02     0.83     1.62     2.71
     504    -1.72     0.42     0.72     1.91
     505    -1.72     0.42     0.72     1.91
     506    -1.72     0.42     0.72     1.91
     507    -1.62     1.22     1.49     2.52
     508    -1.62     1.22     1.49     2.52
     509    -1.62     1.22     1.49     2.52
     510    -1.56     1.32     1.47     2.52
     511    -0.52     2.05     1.06     2.36
     512    -1.54     1.49     0.55     2.21
     513    -0.99     2.22    -0.15     2.44
     514     0.03     1.84    -0.84     2.02
     515     0.22     1.69    -0.48     1.77
     516    -0.68     1.66     0.55     1.88
     517    -0.38     1.94     1.05     2.24
     518    -0.37     1.21     0.90     1.55
     519    -0.37     1.21     0.90     1.55
     520     0.21     0.56     0.79     0.99
     521     1.07     0.58     1.07     1.62
     522     1.22    -0.61     1.46     2.00
     523     0.38     0.06     2.28     2.31
     524     0.38     0.06     2.28     2.31
     525     1.26     1.12     1.33     2.15
     526     1.26     1.12     1.33     2.15
     527     1.26     1.12     1.33     2.15
     528     2.10     1.77     0.51     2.79
     529     2.10     1.77     0.51     2.79
     530     2.10     1.77     0.51     2.79
     531     2.47     1.96     1.67     3.57
     532     3.58     1.88     0.88     4.14
     533     3.34     1.40     1.33     3.86
     534     3.34     1.40     1.33     3.86
     535     3.34     1.40     1.33     3.86
     536     3.90     1.18     0.71     4.14
     537     3.48     2.01     0.04     4.02
     538     3.48     2.01     0.04     4.02
     539     2.48     0.86    -0.30     2.64
     540     1.72     1.37    -0.30     2.22
     541     1.72     1.37    -0.30     2.22
     542     0.97     1.26    -0.92     1.84
     543     0.65     0.07    -0.70     0.96
     544     0.65     0.07    -0.70     0.96
     545     0.94    -0.66    -0.45     1.24
     546     0.32    -0.49    -0.09     0.60
     547     0.32    -0.49    -0.09     0.60
     548     0.32    -0.49    -0.09     0.60
     549     0.61     0.46    -0.19     0.79
     550     0.61     0.46    -0.19     0.79
     551     0.61     0.46    -0.19     0.79
     552     0.61     0.46    -0.19     0.79
     553     0.12     0.64    -1.25     1.41
     554     1.21     0.15    -0.61     1.37
     555     0.39    -0.75    -1.17     1.45
     556     0.39    -0.75    -1.17     1.45
     557     0.39    -0.75    -1.17     1.45
     558    -0.37    -0.38    -0.35     0.63
     559    -0.37    -0.38    -0.35     0.63
     560    -0.37    -0.38    -0.35     0.63
     561    -0.37    -0.38    -0.35     0.63
     562    -0.37    -0.38    -0.35     0.63
     563    -0.37    -0.38    -0.35     0.63
     564    -0.37    -0.38    -0.35     0.63
     565    -0.11    -0.47     0.40     0.63
     566    -0.11    -0.47     0.40     0.63
     567    -0.11    -0.47     0.40     0.63
     568    -0.11    -0.47     0.40     0.63
     569    -0.11    -0.47     0.40     0.63
     570    -0.11    -0.47     0.40     0.63
     571    -0.11    -0.47     0.40     0.63
