#NUM_PART   XCOORD   YCOORD   ZCOORD     DIST
     164     1.83    10.74     4.08    11.63
     165     1.45     9.88     4.85    11.10
     166     1.48     8.72     6.03    10.71
     167     1.48     8.72     6.03    10.71
     168     2.64     9.07     5.28    10.82
     169     2.64     9.07     5.28    10.82
     170     1.69     8.86     6.37    11.04
     171     0.52     8.51     5.93    10.39
     172    -0.54     8.32     5.21     9.83
     173    -0.58     7.16     4.52     8.49
     174    -0.58     7.16     4.52     8.49
     175    -0.10     6.90     4.90     8.46
     176    -0.10     6.90     4.90     8.46
     177     0.29     7.00     4.96     8.58
     178     1.14     7.29     4.70     8.75
     179     0.61     7.01     4.32     8.26
     180    -0.39     6.77     3.62     7.69
     181    -1.53     5.85     4.23     7.38
     182    -1.13     5.36     5.27     7.60
     183    -1.13     5.36     5.27     7.60
     184    -1.56     5.11     5.80     7.89
     185    -1.88     3.92     5.53     7.04
     186    -2.63     4.54     4.90     7.18
     187    -3.08     3.52     5.01     6.85
     188    -3.08     3.52     5.01     6.85
     189    -3.08     3.52     5.01     6.85
     190    -3.08     3.52     5.01     6.85
     191    -3.08     3.52     5.01     6.85
     192    -3.08     3.52     5.01     6.85
     193    -3.08     3.52     5.01     6.85
     194    -3.08     3.52     5.01     6.85
     195    -3.31     2.59     3.91     5.74
     196    -3.31     2.59     3.91     5.74
     197    -2.99     2.20     2.84     4.67
     198    -3.74     1.44     2.11     4.53
     199    -3.91     1.44     1.96     4.60
     200    -3.91     1.44     1.96     4.60
     201    -3.83     1.46     0.89     4.19
     202    -3.14     0.48     1.80     3.65
     203    -3.14     0.48     1.80     3.65
     204    -2.60     1.38     1.75     3.42
     205    -3.14     1.30     2.12     4.00
     206    -3.14     1.30     2.12     4.00
     207    -2.11     0.27     2.30     3.13
     208    -1.24     1.25     1.60     2.38
     209    -1.01     1.23     0.54     1.68
     210    -1.01     1.23     0.54     1.68
     211     0.10     0.76     0.51     0.92
     212     0.55     0.77    -0.24     0.97
     213     1.15     0.34    -0.65     1.37
     214     1.15     0.34    -0.65     1.37
     215     0.47     0.65    -0.22     0.83
     216    -0.18    -0.02    -0.58     0.61
     217    -0.72    -0.30    -1.45     1.65
     218    -0.43    -0.15    -0.43     0.63
     219    -0.43    -0.15    -0.43     0.63
     220    -0.08    -0.47     0.71     0.86
     221    -0.07    -0.29    -0.32     0.44
     222    -0.07    -0.29    -0.32     0.44
     223    -0.07    -0.29    -0.32     0.44
     224    -0.07    -0.29    -0.32     0.44
     225    -0.07    -0.29    -0.32     0.44
     226    -0.07    -0.29    -0.32     0.44
     227    -0.07    -0.29    -0.32     0.44
     228    -0.07    -0.29    -0.32     0.44
     229    -0.07    -0.29    -0.32     0.44
     230     0.03     0.30    -0.05     0.31
     231     0.03     0.30    -0.05     0.31
     232     0.68     0.39    -0.22     0.81
     233     1.17    -0.45     0.45     1.33
     234     1.17    -0.45     0.45     1.33
     235     0.11    -0.42     1.12     1.21
     236    -0.79    -0.45     1.36     1.64
     237    -1.38     0.50     1.88     2.38
     238    -1.55     0.15     1.38     2.08
     239    -0.37    -0.64     1.97     2.11
     240    -0.37    -0.64     1.97     2.11
     241    -0.37    -0.64     1.97     2.11
     242    -0.56    -0.38     2.28     2.38
     243    -0.71     0.64     1.60     1.86
     244     0.26     1.12     1.73     2.08
     245     0.45     1.13     2.43     2.72
     246     0.45     1.13     2.43     2.72
     247    -0.12    -0.05     2.46     2.46
     248    -1.19     0.32     3.09     3.32
     249    -0.23    -0.68     2.67     2.76
     250    -0.23    -0.68     2.67     2.76
     251     0.04    -1.22     1.83     2.20
     252     1.17    -0.43     1.63     2.05
     253     0.24    -1.23     0.74     1.46
     254    -0.28    -0.16     1.69     1.72
     255     0.51    -0.07     0.66     0.83
     256     0.51    -0.07     0.66     0.83
     257     0.51    -0.07     0.66     0.83
     258     0.51    -0.07     0.66     0.83
     259     0.51    -0.07     0.66     0.83
     260    -0.38    -0.81     1.17     1.47
     261    -0.13    -1.04     1.11     1.53
     262     0.72    -0.36     1.36     1.58
     263     1.19    -0.81     1.16     1.85
     264     1.19    -0.81     1.16     1.85
     265     0.14     0.21     1.44     1.46
     266     0.67     0.29     1.13     1.35
     267     0.67     0.29     1.13     1.35
     268     0.67     0.29     1.13     1.35
     269     0.27     1.16     1.21     1.70
     270     0.11     1.88     1.50     2.41
     271    -0.66     0.69     1.20     1.53
     272    -0.41    -0.24     0.49     0.68
     273    -0.41    -0.24     0.49     0.68
     274    -0.41    -0.24     0.49     0.68
     275     0.41    -0.21     0.16     0.49
     276     0.41    -0.21     0.16     0.49
     277     0.41    -0.21     0.16     0.49
     278     0.41    -0.21     0.16     0.49
     279     0.41    -0.21     0.16     0.49
     280     0.41    -0.21     0.16     0.49
     281     0.41    -0.21     0.16     0.49
     282     0.41    -0.21     0.16     0.49
     283     0.41    -0.21     0.16     0.49
     284    -0.23    -0.45    -0.98     1.11
     285     0.73    -0.39     0.15     0.84
     286    -0.35     0.34     0.67     0.83
     287    -0.15    -0.84    -0.46     0.97
     288    -0.15    -0.84    -0.46     0.97
     289    -0.15    -0.84    -0.46     0.97
     290    -0.15    -0.84    -0.46     0.97
     291    -0.08    -0.05     0.59     0.60
     292    -0.08    -0.05     0.59     0.60
     293    -0.08    -0.05     0.59     0.60
     294     0.43    -0.34     0.16     0.57
     295     0.43    -0.34     0.16     0.57
     296     0.43    -0.34     0.16     0.57
     297     0.15    -0.44     0.17     0.50
     298     0.15    -0.44     0.17     0.50
     299     0.15    -0.44     0.17     0.50
     300     0.15    -0.44     0.17     0.50
     301     0.15    -0.44     0.17     0.50
     302     0.46    -0.01    -0.76     0.89
     303    -0.18     0.68     0.34     0.78
     304    -0.18     0.68     0.34     0.78
     305    -0.18     0.68     0.34     0.78
     306    -0.18     0.68     0.34     0.78
     307    -0.19    -0.36    -0.30     0.51
     308     0.41    -0.04     0.09     0.42
     309     0.41    -0.04     0.09     0.42
     310     0.85    -1.18     0.31     1.48
     311     0.84    -0.17     0.15     0.87
     312     0.84    -0.17     0.15     0.87
     313     0.84    -0.17     0.15     0.87
     314     0.84    -0.17     0.15     0.87
     315     0.51     0.62     0.22     0.83
     316     0.51     0.62     0.22     0.83
     317     0.51     0.62     0.22     0.83
     318     1.48    -0.41     0.69     1.69
     319     0.74     0.26     0.62     1.01
     320     0.19     0.48    -0.15     0.54
     321     0.19     0.48    -0.15     0.54
     322     0.19     0.48    -0.15     0.54
     323    -0.04     0.31     0.44     0.54
     324    -0.04     0.31     0.44     0.54
     325    -1.05    -0.08     0.53     1.17
     326    -0.31     0.15    -0.64     0.73
     327    -0.31     0.15    -0.64     0.73
