#NUM_PART   XCOORD   YCOORD   ZCOORD     DIST
     159     4.60     5.90    16.36    17.99
     160     4.60     5.90    16.36    17.99
     161     5.53     5.04    16.76    18.35
     162     4.98     5.13    17.25    18.67
     163     4.27     4.51    16.25    17.39
     164     4.27     4.51    16.25    17.39
     165     3.88     3.65    17.02    17.83
     166     3.88     3.65    17.02    17.83
     167     3.01     4.44    16.75    17.58
     168     4.17     4.79    16.00    17.21
     169     5.20     5.72    15.73    17.53
     170     5.20     5.72    15.73    17.53
     171     4.03     5.38    15.29    16.71
     172     2.97     5.18    14.57    15.75
     173     2.93     4.02    13.89    14.75
     174     2.93     4.02    13.89    14.75
     175     2.93     4.02    13.89    14.75
     176     2.93     4.02    13.89    14.75
     177     3.32     4.12    13.94    14.91
     178     4.17     4.41    13.69    14.97
     179     3.64     4.13    13.31    14.40
     180     2.64     3.89    12.61    13.45
     181     2.64     3.89    12.61    13.45
     182     2.64     3.89    12.61    13.45
     183     2.64     3.89    12.61    13.45
     184     2.20     3.64    13.14    13.81
     185     1.88     2.45    12.86    13.23
     186     1.13     3.07    12.23    12.66
     187     0.69     2.05    12.34    12.53
     188     0.69     2.05    12.34    12.53
     189     0.69     2.05    12.34    12.53
     190     0.69     2.05    12.34    12.53
     191     0.69     2.05    12.34    12.53
     192     0.69     2.05    12.34    12.53
     193     0.69     2.05    12.34    12.53
     194     0.69     2.05    12.34    12.53
     195     0.45     1.12    11.25    11.31
     196    -0.70     1.10    11.41    11.49
     197    -0.37     0.71    10.34    10.37
     198    -1.12    -0.04     9.61     9.67
     199    -1.30    -0.05     9.45     9.54
     200    -1.30    -0.05     9.45     9.54
     201    -1.22    -0.03     8.39     8.48
     202    -1.22    -0.03     8.39     8.48
     203    -1.22    -0.03     8.39     8.48
     204    -0.68     0.87     8.34     8.42
     205    -1.22     0.79     8.71     8.83
     206    -1.22     0.79     8.71     8.83
     207    -0.18    -0.23     8.89     8.89
     208     0.68     0.75     8.19     8.25
     209     0.92     0.72     7.13     7.23
     210     0.92     0.72     7.13     7.23
     211     0.92     0.72     7.13     7.23
     212     1.36     0.74     6.38     6.57
     213     1.97     0.30     5.97     6.30
     214     1.97     0.30     5.97     6.30
     215     1.29     0.62     6.41     6.56
     216     0.64    -0.06     6.04     6.08
     217     0.10    -0.33     5.17     5.19
     218     0.10    -0.33     5.17     5.19
     219     0.10    -0.33     5.17     5.19
     220     0.10    -0.33     5.17     5.19
     221     0.11    -0.16     4.14     4.15
     222     0.45    -0.63     4.20     4.27
     223    -0.70    -0.95     3.48     3.68
     224    -0.70    -0.95     3.48     3.68
     225    -1.33     0.08     2.37     2.72
     226    -1.33     0.08     2.37     2.72
     227    -0.55    -0.40     1.91     2.03
     228    -0.63    -0.98     0.86     1.44
     229    -0.63    -0.98     0.86     1.44
     230    -0.53    -0.39     1.13     1.30
     231    -0.53    -0.39     1.13     1.30
     232     0.11    -0.30     0.96     1.01
     233     0.11    -0.30     0.96     1.01
     234     0.11    -0.30     0.96     1.01
     235     0.11    -0.30     0.96     1.01
     236    -0.79    -0.33     1.19     1.47
     237    -1.38     0.61     1.71     2.28
     238    -1.55     0.26     1.21     1.98
     239    -0.37    -0.53     1.80     1.91
     240    -0.37    -0.53     1.80     1.91
     241    -0.37    -0.53     1.80     1.91
     242    -0.55    -0.26     2.11     2.20
     243    -0.71     0.76     1.43     1.77
     244     0.26     1.24     1.56     2.01
     245     0.45     1.25     2.26     2.62
     246     0.45     1.25     2.26     2.62
     247    -0.12     0.07     2.29     2.30
     248    -1.18     0.44     2.92     3.18
     249    -0.23    -0.56     2.50     2.57
     250    -0.23    -0.56     2.50     2.57
     251     0.04    -1.10     1.66     1.99
     252     1.18    -0.31     1.46     1.90
     253     0.24    -1.11     0.57     1.27
     254    -0.28    -0.04     1.52     1.54
     255     0.51     0.05     0.49     0.71
     256     0.51     0.05     0.49     0.71
     257     0.51     0.05     0.49     0.71
     258     0.51     0.05     0.49     0.71
     259     0.51     0.05     0.49     0.71
     260    -0.37    -0.69     1.00     1.27
     261    -0.13    -0.92     0.94     1.32
     262     0.72    -0.24     1.19     1.42
     263     1.19    -0.69     0.99     1.70
     264     1.19    -0.69     0.99     1.70
     265     0.14     0.33     1.27     1.32
     266     0.67     0.41     0.96     1.24
     267     0.55    -0.64     1.86     2.05
     268     1.51    -0.08     1.63     2.23
     269     1.11     0.80     1.71     2.19
     270     0.95     1.51     2.01     2.69
     271     0.18     0.32     1.70     1.74
     272     0.44    -0.61     0.99     1.24
     273    -0.30    -1.29     1.11     1.73
     274    -0.30    -1.29     1.11     1.73
     275     0.51    -1.26     0.78     1.57
     276     0.51    -1.26     0.78     1.57
     277     0.51    -1.26     0.78     1.57
     278     0.51    -1.26     0.78     1.57
     279     0.51    -1.26     0.78     1.57
     280     0.51    -1.26     0.78     1.57
     281     0.51    -1.26     0.78     1.57
     282     0.51    -1.26     0.78     1.57
     283     0.51    -1.26     0.78     1.57
     284    -0.13    -1.50    -0.36     1.55
     285     0.83    -1.43     0.77     1.83
     286    -0.25    -0.70     1.30     1.49
     287    -0.05    -1.88     0.16     1.89
     288    -0.05    -1.88     0.16     1.89
     289    -0.05    -1.88     0.16     1.89
     290    -0.05    -1.88     0.16     1.89
     291     0.02    -1.09     1.22     1.63
     292     0.79    -1.51     0.16     1.71
     293     0.87    -0.48     0.53     1.12
     294     0.87    -0.48     0.53     1.12
     295     0.87    -0.48     0.53     1.12
     296     0.87    -0.48     0.53     1.12
     297     0.59    -0.59     0.54     0.99
     298     0.59    -0.59     0.54     0.99
     299     0.59    -0.59     0.54     0.99
     300    -0.34    -0.82     0.04     0.89
     301    -0.34    -0.82     0.04     0.89
     302    -0.03    -0.39    -0.89     0.97
     303    -0.68     0.30     0.21     0.77
