COST_FUNCTION:      MEAN_COST_FUNCTION:
    5.5391789                8.0507483
    5.8372083                7.9325757
    5.8372083                8.5373751
    5.8372083                8.2138105
    5.8372083                7.9456673
    5.8372083                7.7603654
    5.8372083                8.2325268
    5.8372083                8.0969440
    5.8372083                8.2939952
    5.8372083                8.2924815
    5.8372083                7.8176743
    5.8372083                8.2083658
    5.8372083                8.6992557
    5.8372083                7.9518870
    5.8372083                7.6370646
    5.8372083                7.9467470
    5.8372083                7.8588850
    5.8372083                8.4686366
    5.8372083                7.8447613
    5.5823990                7.4187369
    5.8372083                7.4816999
    5.8372083                8.6064713
    5.8372083                8.4820436
    5.8372083                8.0783384
    5.8372083                8.0601452
    5.8372083                7.1566700
    5.8372083                7.6009934
    5.7467882                7.3479820
    5.8372083                7.5914232
    5.8372083                7.6421642
    5.8372083                7.4713622
    5.8372083                8.0392580
    5.8372083                7.9075620
    5.8372083                8.0843532
    5.8372083                7.8883318
    5.8372083                8.0511816
    5.8372083                8.0839695
    5.8372083                7.7201643
    5.8372083                8.0359471
    5.5391789                7.0663136
    5.7467882                7.4212039
    5.8372083                7.7133027
    5.8372083                8.1402229
    5.8372083                8.7673243
    5.8372083                8.1263107
    5.8372083                7.5743719
    5.8372083                7.8710894
    5.7908811                8.4549712
    5.8372083                7.9210243
    5.5391789                7.7938638
    5.8372083                7.7648061
    5.8372083                7.4277956
    5.8372083                7.6854118
    5.5391789                7.9921963
    5.8372083                7.7383052
    5.8372083                8.1808145
    5.8372083                7.8752150
    5.8372083                7.5658447
    5.8372083                7.9634248
    5.8372083                8.4120191
    5.8372083                8.2386634
    5.8372083                8.0992361
    5.8372083                8.5528789
    5.8372083                7.9157131
    5.8372083                7.5481060
    5.8372083                7.5184218
    5.8372083                7.9330140
    5.8372083                8.0821428
    5.5391789                8.4345649
    5.3693885                8.2244126
    5.8372083                7.9995196
    5.8372083                7.6156822
    5.8372083                7.8329018
    5.8372083                8.3448329
    5.8372083                7.8134643
    5.8372083                7.8986767
    5.8372083                8.0506735
    5.8372083                7.7229763
    5.8372083                7.8962581
    5.8372083                7.6971515
    5.8372083                7.2754045
    5.8372083                7.6674673
    5.8372083                7.6916966
    5.8372083                7.8594500
    5.8372083                8.4154278
    5.8372083                7.9834100
    5.8372083                8.1940152
    5.8372083                8.1250400
    5.8372083                7.5551358
    5.8372083                7.4785051
    5.8372083                8.1900216
    5.8372083                7.9449718
    5.8372083                7.5532976
    5.8372083                7.6979732
    5.8372083                7.4670684
    5.8372083                7.8960875
    5.8372083                7.4972808
    5.8372083                7.6987237
    5.8372083                8.0062082
    5.8372083                7.5546488
    5.8372083                8.0863266
    5.8372083                7.4968041
    5.8372083                7.9092880
    5.8372083                8.0593135
    5.8372083                7.9650724
    5.8372083                7.7898858
    5.8372083                8.6117219
    5.8372083                7.5038581
    5.8372083                8.4301161
    5.8372083                7.7892226
    5.8372083                8.2940003
    5.8372083                8.2235627
    5.8372083                7.8284694
    5.8372083                8.1321279
    5.5391789                7.8731840
    5.0687800                6.9417753
    5.8372083                7.5815122
    5.8372083                7.9756199
    5.8372083                7.9643260
    5.8372083                7.9968256
    5.8372083                8.5467870
    5.8372083                8.1738371
    5.8372083                7.9736688
    5.8372083                7.3454111
    5.8372083                8.0144683
    5.8372083                8.0691831
    5.8372083                7.7785821
    5.8372083                8.2237394
    5.8372083                7.9429265
    5.8372083                8.2074181
    5.8372083                8.0362570
    5.8372083                8.1586648
    5.8372083                8.5347237
    5.2618405                8.0927427
    5.8372083                7.7949777
    5.7794206                7.9655345
    5.8372083                8.0292785
    5.8372083                8.0427110
    5.8372083                7.7103361
    5.8372083                7.6310942
    5.8372083                8.6615577
    5.8372083                8.0604536
    5.8372083                7.3927794
    5.8372083                7.6608699
    5.5391789                7.5014384
    5.5391789                8.4343738
    5.5391789                7.6724298
    5.5391789                7.6166983
    5.5391789                7.5992444
    5.5391789                7.6158085
    5.5391789                7.6944981
    5.5391789                7.6958153
    5.5391789                7.8404224
    5.5391789                7.4995571
    5.2843696                7.7047301
    5.5391789                7.3560578
    5.5391789                7.2587388
    5.5391789                7.8085807
    5.5391789                7.7784799
    5.5391789                7.8287122
    5.5391789                7.6926537
    5.5391789                7.4089828
    5.5391789                8.2490302
    5.5391789                7.6884928
    5.5391789                7.5549125
    5.5391789                7.6676686
    5.5391789                7.6194850
    5.5391789                7.1890077
    5.5391789                8.0259676
    5.5391789                7.4994227
    5.5391789                7.2844435
    5.5391789                7.2281106
    5.5391789                7.4648150
    5.5391789                7.2980223
    5.5391789                7.5350437
    5.2618405                7.4835986
    5.5391789                7.3029918
    5.5391789                7.3922095
    5.5391789                7.7481550
    5.5391789                8.0486067
    5.5391789                7.3923502
    5.5391789                7.7479571
    5.5391789                7.1948237
    5.5391789                7.2286521
    5.5391789                7.3583235
    5.5391789                7.5573205
    5.4610775                7.4732361
    5.5391789                7.4114774
    5.5391789                7.7621850
    5.5391789                7.3235837
    5.5391789                7.7098600
    5.5391789                7.7759617
    5.5391789                8.1284365
    5.5391789                7.6817764
    5.5391789                7.6844609
    5.5391789                8.2968346
    5.5391789                7.2784474
    5.5391789                7.6197913
    5.5391789                7.4622690
    5.5391789                7.3290444
    5.4487588                6.9686825
    5.2843696                7.9208175
    4.7707506                7.6759829
    5.5391789                7.5646162
    5.2843696                7.7054127
    5.5391789                7.1597156
    5.5391789                6.8149378
    5.5391789                7.4040809
    5.5391789                7.6405908
    5.5391789                8.2414249
    5.5391789                8.2842617
