COST_FUNCTION:      MEAN_COST_FUNCTION:
 4659.4605386             5096.2572820
 4659.4605386             5133.7261449
 4659.4605386             5106.7968712
 4659.4605386             5026.8942168
 4659.4605386             5002.0737378
 4659.4605386             5113.4357139
 4659.4605386             5108.2915540
 4659.4605386             5161.4996428
 4659.4605386             5140.2431697
 4659.4605386             5081.7059744
 4659.4605386             5167.0951381
 4659.4605386             5073.5118199
 4659.4605386             5055.6104041
 4659.4605386             5057.3424926
 4659.4605386             5103.9158625
 4659.4605386             5125.6393102
 4659.4605386             5115.3096887
 4659.4605386             5093.6340084
 4659.4605386             5032.2843312
 4659.4605386             5095.1721369
 4659.4605386             5028.0106159
 4659.4605386             5067.6516648
 4659.4605386             5129.7758760
 4659.4605386             5101.6503626
 4659.4605386             5037.6035542
 4659.4605386             5201.2448517
 4659.4605386             5110.3077552
 4659.4605386             5111.1841557
 4659.4605386             5069.9377569
 4659.4605386             5072.0704818
 4659.4605386             5109.4637793
 4659.4605386             5094.5355666
 4659.4605386             5192.3175190
 4659.4605386             5104.3722572
 4659.4605386             5048.7001989
 4659.4605386             5043.4929759
 4659.4605386             5150.5839988
 4659.4605386             5114.8737534
 4659.4605386             5082.0441677
 4659.4605386             4987.5137444
 4659.4605386             5097.6978222
 4659.4605386             5144.1929769
 4659.4605386             5114.0872669
 4659.4605386             5096.3351232
 4659.4605386             5171.6104481
 4659.4605386             5106.4319786
 4659.4605386             5079.2442655
 4659.4605386             5118.4336522
 4659.4605386             5132.4338107
 4659.4605386             5070.0540673
 4659.4605386             5112.3134355
 4659.4605386             5165.6118795
 4659.4605386             5023.5425755
 4659.4605386             5050.1105077
 4659.4605386             5105.8640038
 4659.4605386             5101.3083856
 4659.4605386             5039.7830155
 4659.4605386             5076.7091477
 4659.4605386             4996.0033873
 4651.7503508             5015.5468868
 4659.4605386             5009.2128724
 4651.7503508             5064.6467136
 4659.4605386             5109.1959313
 4659.4605386             5023.7328577
 4659.4605386             5092.3275959
 4659.4605386             5062.0961854
 4659.4605386             5118.2011165
 4659.4605386             5176.8427757
 4659.4605386             5071.5923262
 4659.4605386             5124.9415563
 4659.4605386             5127.3780312
 4659.4605386             5130.6285557
 4659.4605386             5101.0709618
 4659.4605386             5227.8688269
 4659.4605386             5074.1493626
 4659.4605386             5133.5497452
 4659.4605386             5209.6545723
 4659.4605386             5174.8897198
 4659.4605386             5128.3741195
 4659.4605386             5037.6244454
 4659.4605386             5064.4282703
 4659.4605386             5085.2600317
 4659.4605386             5136.4149302
 4659.4605386             5052.6784729
 4659.4605386             5040.0817797
 4659.4605386             5018.8306749
 4659.4605386             5026.5551166
 4659.4605386             5096.7732665
 4659.4605386             5087.2442185
 4659.4605386             5030.4188846
 4655.3577339             5155.5043525
 4659.4605386             5067.5324807
 4659.4605386             5129.8873108
 4659.4605386             5192.4517504
 4659.4605386             5081.8709590
 4659.4605386             5282.3360759
 4659.4605386             5099.6016917
 4659.4605386             5162.0223992
 4659.4605386             5055.9572651
 4659.4605386             5192.4239903
 4655.3577339             5222.5439976
 4659.4605386             5083.0739857
 4659.4605386             5112.7405489
 4659.4605386             5183.1206998
 4659.4605386             5071.2645139
 4659.4605386             5210.6580328
 4659.4605386             5161.2503717
 4659.4605386             5177.5898974
 4659.4605386             5111.2349508
 4659.4605386             5017.2561952
 4659.4605386             5075.4616519
