COST_FUNCTION:      MEAN_COST_FUNCTION:
  117.3196950              350.9863179
  115.7973418              349.9634168
  115.9634141              366.0898891
  117.0516369              347.7421951
  117.7785043              344.0820441
  117.6529974              340.8653164
  118.7725319              345.9046336
  115.7973418              346.6178804
  121.0362218              346.2770490
  115.9634141              372.6646022
  117.3196950              351.1758445
  116.0097156              354.1762886
  112.6024862              340.6224713
  113.8516680              344.5387061
  114.2649220              339.8454999
  117.2593096              344.4193967
  116.0495775              350.5661059
  112.6024862              345.2441521
  113.8516680              352.6358020
  115.4410469              357.4286980
  115.4410469              347.3545155
  116.8077006              344.1697834
  114.6363327              343.3439730
  111.1237839              337.6379169
  110.6512335              339.6972073
  111.1237839              335.7152605
  114.4391705              341.7686098
  114.8855119              349.8350445
  110.6512335              341.2263093
  113.5651448              344.7220661
  114.3640464              344.5893454
  114.4391705              344.2419062
  116.0495775              349.0904422
  111.3989728              342.6219284
  107.5509261              344.4831859
  109.2323389              342.8387514
  109.2323389              351.8029877
  112.7040836              345.6657980
  114.2004698              347.5119292
  110.4583640              342.7590547
  112.7040836              347.6816613
  114.3640464              348.2033787
  107.5509261              347.9222435
  110.4583640              347.8902187
  108.4091216              342.7203463
  107.7836904              337.0373746
  105.7405088              343.5933532
  108.3225988              341.2797213
  108.3225988              348.4193612
  112.3276165              340.7313393
  108.2766196              345.0765120
  111.7700671              341.0743191
  105.7405088              335.7674160
  108.4091216              335.5220432
  107.7836904              342.8206302
  107.5770026              344.1554529
  108.0250081              340.4056929
  105.1642009              330.4499498
  108.0473156              339.8992112
  107.8629968              330.3183195
  111.0212791              339.3254159
  105.1642009              340.6718829
  105.4825013              340.0492617
  103.1525704              337.2483047
  103.1525704              335.2197958
  107.5770026              339.7940167
  104.0670933              336.8951210
  105.5265775              333.7383259
  103.1525704              335.9207060
  105.1642009              339.2352188
  106.0659948              332.4718135
  100.7458477              328.2352454
  104.0670933              332.5754311
  105.5265775              328.2083627
  100.7458477              328.9278302
  103.1525704              332.0633384
  104.3093681              333.7743706
  104.0670933              335.7002156
  103.1877249              338.4321101
   98.8636888              332.3568779
  103.5903016              327.4505324
  101.6654665              332.9762120
   98.8636888              324.8345953
  104.0670933              331.0013127
  103.1877249              340.1948512
  100.4401463              329.3541972
  103.1525704              330.5158392
  103.5903016              330.8142124
  100.3245045              326.0688679
   97.2751181              325.7346836
   99.2495474              324.6213907
  101.4351883              333.4915958
  101.4112078              340.6077462
   97.2751181              323.9965350
  101.4351883              335.3542594
   99.2495474              321.6588915
  100.3245045              329.5197568
  102.7118787              337.6249172
  103.0430606              333.2147991
  100.3042369              335.2479975
